task	N_pos	N_neg	acc	recall	precision	f1
HIGH_VS_95LOW__3VRL__auto__0__42	5000	5000	0.9899	0.9956	0.9843780897765474	0.9899572437108481
HIGH_VS_LOOSER__3VRL__auto__0__42	5000	5000	0.8876	0.9	0.8782201405152225	0.8889766890557091
ONE_VS_NINE__3VRL__auto__0__42	5000	4995	0.9372686343171586	0.9582	0.919754271453254	0.9385836027034969
HIGH_VS_95LOW__3VRL__auto__1__42	5000	5000	0.9898	0.9956	0.9841834717279557	0.9898588188506662
HIGH_VS_LOOSER__3VRL__auto__1__42	5000	5000	0.8881	0.902	0.8776026464292664	0.8896340862017951
ONE_VS_NINE__3VRL__auto__1__42	5000	4995	0.9371685842921461	0.9588	0.9190950920245399	0.9385277995301488
HIGH_VS_95LOW__3VRL__auto__2__42	5000	5000	0.9899	0.9956	0.9843780897765474	0.9899572437108481
HIGH_VS_LOOSER__3VRL__auto__2__42	5000	5000	0.8876	0.8998	0.8783678250683327	0.8889547520252915
ONE_VS_NINE__3VRL__auto__2__42	5000	4995	0.9367683841920961	0.9596	0.9177505738332058	0.9382088384825968
HIGH_VS_95LOW__3VRL__auto__3__42	5000	5000	0.9898	0.9956	0.9841834717279557	0.9898588188506662
HIGH_VS_LOOSER__3VRL__auto__3__42	5000	5000	0.8877	0.9014	0.8773603270391279	0.8892177172733551
ONE_VS_NINE__3VRL__auto__3__42	5000	4995	0.9367683841920961	0.9588	0.9183908045977012	0.938160469667319
HIGH_VS_95LOW__3VRL__auto__0__0	5000	5000	0.9935	0.9974	0.9896804921611431	0.9935252515190754
HIGH_VS_LOOSER__3VRL__auto__0__0	5000	5000	0.8824	0.9016	0.8682588597842835	0.8846153846153846
ONE_VS_NINE__3VRL__auto__0__0	5000	4995	0.9354677338669335	0.9554	0.9188305443354491	0.9367585057358565
HIGH_VS_95LOW__3VRL__auto__0__1	5000	5000	0.992	0.9962	0.9879016263387544	0.992033459470225
HIGH_VS_LOOSER__3VRL__auto__0__1	5000	5000	0.8838	0.8986	0.8727661227661228	0.8854946787544344
ONE_VS_NINE__3VRL__auto__0__1	5000	4995	0.9381690845422711	0.9568	0.9224836097184728	0.9393284900844296
HIGH_VS_95LOW__3VRL__auto__0__2	5000	5000	0.9932	0.9976	0.9888977002379065	0.9932297889287137
HIGH_VS_LOOSER__3VRL__auto__0__2	5000	5000	0.8826	0.8954	0.8730499219968799	0.884083728278041
