task	acc	recall	precision	f1
HIGH_VS_95LOW__3VRL__auto__0__42	0.9966	0.998	0.9952134024730754	0.9966047533453166
HIGH_VS_LOOSER__3VRL__auto__0__42	0.9534	0.9604	0.9471400394477317	0.9537239324726912
ONE_VS_NINE__3VRL__auto__0__42	0.9729864932466233	0.975	0.9711155378486056	0.9730538922155689
HIGH_VS_95LOW__3VRL__auto__1__42	0.9962	0.9986	0.9938296178343949	0.9962090981644055
HIGH_VS_LOOSER__3VRL__auto__1__42	0.9526	0.9576	0.9481188118811881	0.9528358208955224
ONE_VS_NINE__3VRL__auto__1__42	0.9726863431715858	0.9782	0.9675568743818002	0.9728493286921929
HIGH_VS_95LOW__3VRL__auto__2__42	0.9964	0.999	0.9938320732192598	0.9964093357271094
HIGH_VS_LOOSER__3VRL__auto__2__42	0.954	0.9632	0.9457973291437549	0.9544193420531114
ONE_VS_NINE__3VRL__auto__2__42	0.9742871435717859	0.9806	0.9683981828955165	0.9744608963529763
HIGH_VS_95LOW__3VRL__auto__3__42	0.9952	0.998	0.992442322991249	0.9952134024730754
HIGH_VS_LOOSER__3VRL__auto__3__42	0.949	0.9556	0.9431504145282273	0.9493343930061593
ONE_VS_NINE__3VRL__auto__3__42	0.9725862931465733	0.981	0.9647915027537373	0.9728282427608093
HIGH_VS_95LOW__3VRL__auto__0__0	0.9968	0.9976	0.9960063897763578	0.996802557953637
HIGH_VS_LOOSER__3VRL__auto__0__0	0.9566	0.964	0.9499408750492708	0.9569188008735359
ONE_VS_NINE__3VRL__auto__0__0	0.9757878939469735	0.9798	0.9720238095238095	0.9758964143426295
HIGH_VS_95LOW__3VRL__auto__0__1	0.9976	0.9988	0.9964086193136472	0.9976028765481422
HIGH_VS_LOOSER__3VRL__auto__0__1	0.9494	0.9606	0.9395539906103286	0.9499604430379748
ONE_VS_NINE__3VRL__auto__0__1	0.9734867433716858	0.9764	0.9707695366872141	0.9735766277794397
HIGH_VS_95LOW__3VRL__auto__0__2	0.9968	0.9986	0.9950179354324432	0.9968057496506288
HIGH_VS_LOOSER__3VRL__auto__0__2	0.9526	0.9636	0.9428571428571428	0.9531157270029673
ONE_VS_NINE__3VRL__auto__0__2	0.9741870935467734	0.9758	0.9726874003189793	0.974241214057508
HIGH_VS_95LOW__3VRL__auto__0__3	0.9965	0.9988	0.9942265578339637	0.9965080315274867
HIGH_VS_LOOSER__3VRL__auto__0__3	0.9501	0.9616	0.939980449657869	0.950667325753831
ONE_VS_NINE__3VRL__auto__0__3	0.9680840420210105	0.97	0.9663279537756525	0.9681604950593871
HIGH_VS_95LOW__3VRL__auto__0__4	0.9973	0.9988	0.9958125623130608	0.9973040439340989
HIGH_VS_LOOSER__3VRL__auto__0__4	0.9522	0.9652	0.9407407407407408	0.9528134254689042
ONE_VS_NINE__3VRL__auto__0__4	0.9736868434217109	0.981	0.9668835008870491	0.9738905986300009
ONE_VS_ONE__3VRL__1NSN__0__42	0.9905	0.9904	0.9905981196239247	0.9904990499049905
ONE_VS_ONE__3VRL__1NSN__1__42	0.9918	0.9944	0.9892558694787107	0.9918212647117496
ONE_VS_ONE__3VRL__1NSN__2__42	0.9914	0.9936	0.989247311827957	0.9914188784673718
ONE_VS_ONE__3VRL__1NSN__3__42	0.9918	0.9954	0.9882843526608419	0.9918294141092069
ONE_VS_ONE__3VRL__1NSN__0__0	0.9924	0.9944	0.9904382470119522	0.9924151696606787
ONE_VS_ONE__3VRL__1NSN__0__1	0.9919	0.9946	0.9892580067634772	0.991921811110003
ONE_VS_ONE__3VRL__1NSN__0__2	0.9934	0.9938	0.9930055955235811	0.9934026389444224
