task	N_test_pos	N_test_neg	acc_epi_pos	recall_epi_pos	precision_epi_pos	f1_epi_pos
ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.9931666666666666	0.992	0.9943200801871032	0.9931586851326548
ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.9941666666666666	0.9946666666666668	0.9936729936729936	0.9941695818757288
ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.9783333333333334	0.9683333333333334	0.988095238095238	0.9781144781144784
ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.9766666666666668	0.9666666666666668	0.9863945578231292	0.9764309764309764
ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.9878333333333332	0.988	0.987670776407864	0.9878353607732044
ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.9886666666666668	0.9886666666666668	0.9886666666666668	0.9886666666666668
ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.9938333333333332	0.9923333333333332	0.9953192912069542	0.9938240694374896
ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.975	0.9786666666666668	0.971542025148908	0.9750913317834606
ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.9961666666666666	0.9983333333333332	0.994025887819449	0.9961749542657576
ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.8983333333333333	0.9976666666666668	0.832313681868743	0.9075197089144936
ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.9555	0.9973333333333332	0.9203322054752384	0.957286834106543
ONE_VS_ONE__1OB1E1__3VRL__0__42	3000	3000	0.9931666666666666	0.9916666666666668	0.9946506185222334	0.9931564012685696
ONE_VS_ONE__1OB1E1__1NSN__0__42	3000	3000	0.9918333333333332	0.993	0.9906883937479216	0.9918428500083236
ONE_VS_ONE__1OB1E1__3RAJ__0__42	3000	3000	0.9785	0.971	0.9857868020304568	0.978337531486146
ONE_VS_ONE__1OB1E1__5E94__0__42	3000	3000	0.9806666666666668	0.973	0.9881516587677726	0.980517299294592
ONE_VS_ONE__1OB1E1__1H0D__0__42	3000	3000	0.9976666666666668	0.9983333333333332	0.9970039946737684	0.997668221185876
ONE_VS_ONE__1OB1E1__1WEJ__0__42	3000	3000	0.981	0.9733333333333334	0.988490182802979	0.9808532079274438
ONE_VS_ONE__1OB1E1__1ADQ__0__42	3000	3000	0.9848333333333332	0.9813333333333332	0.9882510909701242	0.9847800635557784
ONE_VS_ONE__1OB1E1__1FBI__0__42	3000	3000	0.9923333333333332	0.99	0.9946416610850636	0.9923154026060808
ONE_VS_ONE__1OB1E1__2YPV__0__42	3000	3000	0.9938333333333332	0.995	0.9926837379447956	0.9938405193940404
ONE_VS_ONE__1OB1E1__1H0DE1__0__42	3000	3000	0.9933333333333332	0.9986666666666668	0.9881266490765171	0.993368700265252
ONE_VS_ONE__1OB1E1__1WEJE1__0__42	3000	3000	0.9535	0.985	0.9266227657572906	0.9549200193892388
ONE_VS_ONE__1WEJE1__3VRL__0__42	3000	3000	0.9878333333333332	0.9833333333333332	0.9922637066935756	0.987778335844634
ONE_VS_ONE__1WEJE1__1NSN__0__42	3000	3000	0.9938333333333332	0.995	0.9926837379447956	0.9938405193940404
ONE_VS_ONE__1WEJE1__3RAJ__0__42	3000	3000	0.9773333333333334	0.9766666666666668	0.9779706275033376	0.9773182121414276
ONE_VS_ONE__1WEJE1__5E94__0__42	3000	3000	0.9955	0.994	0.9969909729187564	0.9954932398597895
ONE_VS_ONE__1WEJE1__1H0D__0__42	3000	3000	0.9958333333333332	0.9953333333333332	0.9963296629963296	0.9958312489578122
ONE_VS_ONE__1WEJE1__1ADQ__0__42	3000	3000	0.9836666666666668	0.9883333333333332	0.9791941875825628	0.9837425348374254
ONE_VS_ONE__1WEJE1__1FBI__0__42	3000	3000	0.9928333333333332	0.991	0.9946470391435264	0.992820170312239
ONE_VS_ONE__1WEJE1__2YPV__0__42	3000	3000	0.9963333333333332	0.9966666666666668	0.9960026648900732	0.9963345551482838
ONE_VS_ONE__1WEJE1__1OB1__0__42	3000	3000	0.9861666666666666	0.9866666666666668	0.9856809856809856	0.9861735798767284
ONE_VS_ONE__1WEJE1__1H0DE1__0__42	3000	3000	0.9778333333333332	0.9973333333333332	0.9598973371831888	0.9782573156776196
ONE_VS_ONE__1WEJE1__1OB1E1__0__42	3000	3000	0.8718333333333333	0.9906666666666668	0.8004309183948289	0.8854461492626247
ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.9666666666666668	0.967	0.9663557628247836	0.9666777740753082
ONE_VS_NINE__1OB1E1__auto__0__42	3000	3000	0.9701666666666666	0.9606666666666668	0.9792728508324838	0.9698805317179876
ONE_VS_NINE__1WEJE1__auto__0__42	3000	3000	0.9726666666666668	0.984	0.9621903520208605	0.9729729729729728
HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.9798333333333333	0.9993333333333333	0.9618222649983958	0.9802190616315186
HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.9555	0.9676666666666667	0.9446794663195575	0.9560349086118887
HIGH_VS_95LOW__1OB1E1__auto__0__42	3000	3000	0.9906666666666667	1.0	0.981675392670157	0.9907529722589168
HIGH_VS_LOOSER__1OB1E1__auto__0__42	3000	3000	0.9238333333333333	0.9023333333333333	0.9428770463253222	0.9221597683529211
HIGH_VS_95LOW__1WEJE1__auto__0__42	3000	3000	0.9846666666666667	1.0	0.9702457956015524	0.9848982271831911
HIGH_VS_LOOSER__1WEJE1__auto__0__42	3000	3000	0.8905	0.994	0.8235294117647058	0.9007702763932941
