task	acc	recall	precision	f1
HIGH_VS_95LOW__HR2B__auto__0__42	0.908	0.92	0.8984375	0.9090909090909092
HIGH_VS_LOOSER__HR2B__auto__0__42	0.8889	0.8998	0.8806028577020943	0.8900979325353646
HIGH_VS_95LOW__HR2B__auto__1__42	0.9077	0.9018	0.912568306010929	0.9071521979680113
HIGH_VS_LOOSER__HR2B__auto__1__42	0.8878	0.8824	0.8920339668418924	0.8871908304846168
HIGH_VS_95LOW__HR2B__auto__2__42	0.9067	0.9166	0.8988036869974505	0.9076146153084464
HIGH_VS_LOOSER__HR2B__auto__2__42	0.8901	0.9076	0.8769082125603864	0.8919901719901719
HIGH_VS_95LOW__HR2B__auto__3__42	0.9145	0.9326	0.9000193012931866	0.9160200373244278
HIGH_VS_LOOSER__HR2B__auto__3__42	0.8876	0.9026	0.8763106796116504	0.8892610837438424
HIGH_VS_95LOW__HR2B__auto__0__0	0.9087	0.9196	0.899980426697984	0.90968443960827
HIGH_VS_LOOSER__HR2B__auto__0__0	0.8856	0.8912	0.8813291139240507	0.8862370723945904
HIGH_VS_95LOW__HR2B__auto__0__1	0.9082	0.9224	0.896927265655387	0.9094853086176298
HIGH_VS_LOOSER__HR2B__auto__0__1	0.8924	0.907	0.8812670034978625	0.8939483540311453
HIGH_VS_95LOW__HR2B__auto__0__2	0.909	0.9226	0.8981697819314641	0.910220994475138
HIGH_VS_LOOSER__HR2B__auto__0__2	0.8859	0.9022	0.873716831299632	0.8877300009839615
HIGH_VS_95LOW__HR2B__auto__0__3	0.9072	0.9182	0.8984344422700588	0.9082096933728981
HIGH_VS_LOOSER__HR2B__auto__0__3	0.8895	0.9022	0.8798517651648138	0.8908857509627728
HIGH_VS_95LOW__HR2B__auto__0__4	0.9113	0.9272	0.8986237642954061	0.912688256718181
HIGH_VS_LOOSER__HR2B__auto__0__4	0.888	0.906	0.8745173745173745	0.8899803536345776
HIGH_VS_95LOW__HR2P__auto__0__42	0.976	0.992	0.9612403100775194	0.9763779527559056
HIGH_VS_LOOSER__HR2P__auto__0__42	0.88	0.908	0.8598484848484849	0.8832684824902725
HIGH_VS_95LOW__HR2P__auto__1__42	0.976	0.992	0.9612403100775194	0.9763779527559056
HIGH_VS_LOOSER__HR2P__auto__1__42	0.87	0.89	0.8557692307692307	0.8725490196078431
HIGH_VS_95LOW__HR2P__auto__2__42	0.977	0.992	0.9631067961165048	0.9773399014778325
HIGH_VS_LOOSER__HR2P__auto__2__42	0.873	0.89	0.8607350096711799	0.8751229105211407
HIGH_VS_95LOW__HR2P__auto__3__42	0.976	0.992	0.9612403100775194	0.9763779527559056
HIGH_VS_LOOSER__HR2P__auto__3__42	0.878	0.89	0.869140625	0.8794466403162055
HIGH_VS_95LOW__HR2P__auto__0__0	0.981	1.0	0.9633911368015414	0.9813542688910697
HIGH_VS_LOOSER__HR2P__auto__0__0	0.865	0.874	0.8585461689587426	0.8662041625371654
HIGH_VS_95LOW__HR2P__auto__0__1	0.979	0.99	0.9686888454011742	0.9792284866468842
HIGH_VS_LOOSER__HR2P__auto__0__1	0.858	0.884	0.8403041825095057	0.8615984405458089
HIGH_VS_95LOW__HR2P__auto__0__2	0.982	0.988	0.9762845849802372	0.9821073558648111
HIGH_VS_LOOSER__HR2P__auto__0__2	0.856	0.872	0.8449612403100775	0.858267716535433
HIGH_VS_95LOW__HR2P__auto__0__3	0.983	0.998	0.9689320388349515	0.9832512315270935
HIGH_VS_LOOSER__HR2P__auto__0__3	0.882	0.91	0.8617424242424242	0.8852140077821011
HIGH_VS_95LOW__HR2P__auto__0__4	0.971	0.998	0.9468690702087287	0.9717624148003894
HIGH_VS_LOOSER__HR2P__auto__0__4	0.881	0.898	0.8684719535783365	0.8829891838741396
ONE_VS_ONE__HR2P__HR2PSR__0__42	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PSR__1__42	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PSR__2__42	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PSR__3__42	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PSR__0__0	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PSR__0__1	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PSR__0__2	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PSR__0__3	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PSR__0__4	1.0	1.0	1.0	1.0
ONE_VS_ONE__HR2P__HR2PIR__0__42	0.8683333333333333	0.86	0.8745762711864407	0.8672268907563025
ONE_VS_ONE__HR2P__HR2PIR__1__42	0.855	0.8566666666666667	0.8538205980066446	0.8552412645590682
ONE_VS_ONE__HR2P__HR2PIR__2__42	0.87625	0.88	0.918580375782881	0.898876404494382
ONE_VS_ONE__HR2P__HR2PIR__3__42	0.8483333333333334	0.85	0.8471760797342193	0.848585690515807
ONE_VS_ONE__HR2P__HR2PIR__0__0	0.87375	0.894	0.9030303030303031	0.8984924623115579
ONE_VS_ONE__HR2P__HR2PIR__0__1	0.8725	0.892	0.902834008097166	0.8973843058350102
ONE_VS_ONE__HR2P__HR2PIR__0__2	0.89	0.8866666666666667	0.8926174496644296	0.8896321070234113
ONE_VS_ONE__HR2P__HR2PIR__0__3	0.8866666666666667	0.8933333333333333	0.881578947368421	0.8874172185430463
ONE_VS_ONE__HR2P__HR2PIR__0__4	0.865	0.8533333333333334	0.8737201365187713	0.8634064080944351
