task	jsd
ONE_VS_ONE__1H0DE1__3VRL__0__42	4.838879193772629
ONE_VS_ONE__1H0DE1__1NSN__0__42	4.112193514663834
ONE_VS_ONE__1H0DE1__3RAJ__0__42	3.6707580010686574
ONE_VS_ONE__1H0DE1__5E94__0__42	3.407842603016147
ONE_VS_ONE__1H0DE1__1H0D__0__42	
ONE_VS_ONE__1H0DE1__1WEJ__0__42	4.615859228747717
ONE_VS_ONE__1H0DE1__1ADQ__0__42	3.7346864795619874
ONE_VS_ONE__1H0DE1__1FBI__0__42	4.41915286254644
ONE_VS_ONE__1H0DE1__2YPV__0__42	3.8697582504065497
ONE_VS_ONE__1H0DE1__1OB1__0__42	4.973771513036842
HIGH_VS_95LOW__1H0DE1__auto__0__42	3.861187676457959
HIGH_VS_LOOSER__1H0DE1__auto__0__42	2.199533392056336
ONE_VS_NINE__1H0DE1__auto__0__42	3.558239667781477
ONE_VS_ONE__1H0DE1__1OB1E1__0__42	4.973771513036842
ONE_VS_ONE__1H0DE1__1WEJE1__0__42	4.615859228747717
ONE_VS_ONE__1OB1E1__3VRL__0__42	5.464210611486486
ONE_VS_ONE__1OB1E1__1NSN__0__42	5.28893067477408
ONE_VS_ONE__1OB1E1__3RAJ__0__42	3.532061013890458
ONE_VS_ONE__1OB1E1__5E94__0__42	4.114139483390804
ONE_VS_ONE__1OB1E1__1H0D__0__42	5.685782194033156
ONE_VS_ONE__1OB1E1__1WEJ__0__42	4.481867989235335
ONE_VS_ONE__1OB1E1__1ADQ__0__42	4.254919773382341
ONE_VS_ONE__1OB1E1__1FBI__0__42	4.97972005054862
ONE_VS_ONE__1OB1E1__2YPV__0__42	5.1838966660688985
ONE_VS_ONE__1OB1E1__1OB1__0__42	
ONE_VS_ONE__1OB1E1__1H0DE1__0__42	5.685782194033156
HIGH_VS_95LOW__1OB1E1__auto__0__42	4.13953910445789
HIGH_VS_LOOSER__1OB1E1__auto__0__42	2.5841648301844313
ONE_VS_NINE__1OB1E1__auto__0__42	4.0875634529594596
ONE_VS_ONE__1OB1E1__1WEJE1__0__42	4.481867989235335
ONE_VS_ONE__1WEJE1__3VRL__0__42	3.6203000054602965
ONE_VS_ONE__1WEJE1__1NSN__0__42	4.424075403464378
ONE_VS_ONE__1WEJE1__3RAJ__0__42	3.480439783447374
ONE_VS_ONE__1WEJE1__5E94__0__42	4.63755441481237
ONE_VS_ONE__1WEJE1__1H0D__0__42	4.702235755375274
ONE_VS_ONE__1WEJE1__1WEJ__0__42	
ONE_VS_ONE__1WEJE1__1ADQ__0__42	4.04369901128203
ONE_VS_ONE__1WEJE1__1FBI__0__42	4.584405477053014
ONE_VS_ONE__1WEJE1__2YPV__0__42	4.364361027845587
ONE_VS_ONE__1WEJE1__1OB1__0__42	3.9933294983005156
ONE_VS_ONE__1WEJE1__1H0DE1__0__42	4.702235755375274
ONE_VS_ONE__1WEJE1__1OB1E1__0__42	3.9933294983005156
HIGH_VS_95LOW__1WEJE1__auto__0__42	3.387392785559804
HIGH_VS_LOOSER__1WEJE1__auto__0__42	2.094683546717445
ONE_VS_NINE__1WEJE1__auto__0__42	3.5343722496471637
