task_1	task_2	acc	recall	precision	f1
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__42	0.908	0.92	0.8984375	0.9090909090909092
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__42	0.7387	0.92	0.6751798033171877	0.7788030136290528
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__1__42	0.908	0.92	0.8984375	0.9090909090909092
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__1__42	0.7387	0.92	0.6751798033171877	0.7788030136290528
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__2__42	0.908	0.92	0.8984375	0.9090909090909092
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__2__42	0.7387	0.92	0.6751798033171877	0.7788030136290528
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__3__42	0.908	0.92	0.8984375	0.9090909090909092
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__3__42	0.7387	0.92	0.6751798033171877	0.7788030136290528
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__0	0.9131	0.922	0.905875417567302	0.9138665873723857
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__0	0.7332	0.922	0.6692799070847851	0.7755720053835801
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__1	0.9114	0.9238	0.9014441842310694	0.9124851837218491
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__1	0.7339	0.9238	0.6695173213509205	0.7763677619968065
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__2	0.9133	0.929	0.9007174713980997	0.9146401496504873
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__2	0.7394	0.929	0.6735788863109049	0.7809347679892401
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__3	0.9119	0.9302	0.8973567431989196	0.9134832564077383
