task	acc	recall	precision	f1
ONE_VS_NINE__3VRL__auto__0__42	0.5005005005005005	0.5073073073073073	0.5004937783922575	0.5038775104394511
HIGH_VS_95LOW__3VRL__auto__0__42	0.4957	0.497	0.49571115100738083	0.49635473883950865
HIGH_VS_LOOSER__3VRL__auto__0__42	0.5005	0.4282	0.5005845218611176	0.4615716287592972
ONE_VS_ONE__3VRL__1NSN__0__42	0.5003	0.5268	0.5002849002849002	0.5132001948368241
ONE_VS_ONE__3VRL__3RAJ__0__42	0.5016	0.5114	0.5015692428403296	0.5064369182016241
ONE_VS_ONE__3VRL__5E94__0__42	0.5068	0.5194	0.5066328521264144	0.512936993877148
ONE_VS_ONE__3VRL__1H0D__0__42	0.4952	0.5308	0.4955190440627334	0.5125531093086134
ONE_VS_ONE__3VRL__1WEJ__0__42	0.5001	0.5402	0.5000925754489909	0.5193731371983463
ONE_VS_ONE__3VRL__1ADQ__0__42	0.5013	0.5136	0.5012687878196369	0.5073594784154893
ONE_VS_ONE__3VRL__1FBI__0__42	0.5037	0.5012	0.5037185929648241	0.5024561403508772
ONE_VS_ONE__3VRL__2YPV__0__42	0.4983	0.496	0.4982921438617641	0.4971434298887441
ONE_VS_ONE__3VRL__1OB1__0__42	0.5163	0.525	0.5160212305877727	0.520471894517696
ONE_VS_ONE__1NSN__3VRL__0__42	0.5038	0.5254	0.5036426380368099	0.5142913077525451
ONE_VS_NINE__1NSN__auto__0__42	0.4931931931931932	0.5213213213213214	0.4935557240333586	0.5070587089864667
HIGH_VS_95LOW__1NSN__auto__0__42	0.5032	0.5098	0.5031583103039874	0.5064573812835288
HIGH_VS_LOOSER__1NSN__auto__0__42	0.5068	0.5346	0.5064418340280409	0.5201401050788091
ONE_VS_ONE__1NSN__3RAJ__0__42	0.4993	0.514	0.4993199922284826	0.5065536611806445
ONE_VS_ONE__1NSN__5E94__0__42	0.4973	0.5186	0.49741032035296373	0.5077841966121609
ONE_VS_ONE__1NSN__1H0D__0__42	0.4999	0.514	0.49990274265707063	0.5068533675179963
ONE_VS_ONE__1NSN__1WEJ__0__42	0.4964	0.4844	0.49631147540983606	0.4902834008097166
ONE_VS_ONE__1NSN__1ADQ__0__42	0.5075	0.5286	0.5071963154864709	0.517677014983841
ONE_VS_ONE__1NSN__1FBI__0__42	0.5045	0.4994	0.5045463730046474	0.5019599959794955
ONE_VS_ONE__1NSN__2YPV__0__42	0.4956	0.483	0.4954862535904801	0.48916345959084456
ONE_VS_ONE__1NSN__1OB1__0__42	0.5043	0.5252	0.5041274716836245	0.5144480360466255
ONE_VS_ONE__3RAJ__3VRL__0__42	0.5004	0.497	0.500402738622634	0.49869556492073047
ONE_VS_ONE__3RAJ__1NSN__0__42	0.4985	0.5184	0.49855741488747835	0.5082851259927444
ONE_VS_NINE__3RAJ__auto__0__42	0.4918918918918919	0.5021021021021022	0.4920541494997057	0.49702734839476814
HIGH_VS_95LOW__3RAJ__auto__0__42	0.5013	0.5134	0.5012692833430971	0.5072621282481968
HIGH_VS_LOOSER__3RAJ__auto__0__42	0.4962	0.488	0.4961366409109394	0.4920346844121799
ONE_VS_ONE__3RAJ__5E94__0__42	0.4997	0.5134	0.49970800077866456	0.5064614777547598
ONE_VS_ONE__3RAJ__1H0D__0__42	0.4933	0.4942	0.4933120383310042	0.4937556199420522
ONE_VS_ONE__3RAJ__1WEJ__0__42	0.4976	0.4768	0.4974958263772955	0.4869281045751634
ONE_VS_ONE__3RAJ__1ADQ__0__42	0.5048	0.5018	0.5048289738430584	0.5033099297893682
ONE_VS_ONE__3RAJ__1FBI__0__42	0.4947	0.4824	0.4945663317613287	0.488407411157234
ONE_VS_ONE__3RAJ__2YPV__0__42	0.5017	0.516	0.5016527318685592	0.5087252292221237
ONE_VS_ONE__3RAJ__1OB1__0__42	0.5048	0.5196	0.5046620046620046	0.5120220733149389
