dataset_name,r_total_corr_all,r_total_corr_pos,r_total_corr_neg
ONE_VS_NINE__3VRL__auto__0__42,0.8252185803292043,0.8252185803292043,
HIGH_VS_95LOW__3VRL__auto__0__42,0.8803722849411884,0.9148150501415558,0.8609123609042998
HIGH_VS_LOOSER__3VRL__auto__0__42,0.8705783203169165,0.8456287253093132,0.8880596071276573
ONE_VS_NINE__3VRL__auto__1__42,0.7910904389771087,0.7910904389771087,
HIGH_VS_95LOW__3VRL__auto__1__42,0.8740772283677535,0.9111210133980154,0.856107743166159
HIGH_VS_LOOSER__3VRL__auto__1__42,0.8805855976215011,0.8700126260317883,0.8851938993363387
ONE_VS_NINE__3VRL__auto__2__42,0.7971320830733545,0.7971320830733545,
HIGH_VS_95LOW__3VRL__auto__2__42,0.8855912832984284,0.9133309096343908,0.8718854454273011
HIGH_VS_LOOSER__3VRL__auto__2__42,0.8926684783128939,0.8932488976490421,0.8891084164685169
ONE_VS_NINE__3VRL__auto__3__42,0.8002008050962117,0.8002008050962117,
HIGH_VS_95LOW__3VRL__auto__3__42,0.8951901676968699,0.8988552648491694,0.8965012285892792
HIGH_VS_LOOSER__3VRL__auto__3__42,0.8795423321034763,0.8686169472147556,0.8843732307094067
ONE_VS_NINE__3VRL__auto__0__0,0.8520924211993048,0.8520924211993048,
HIGH_VS_95LOW__3VRL__auto__0__0,0.857330949685696,0.9188552474513302,0.8160939545139895
HIGH_VS_LOOSER__3VRL__auto__0__0,0.8868070204604802,0.8605327710569103,0.903113902318377
ONE_VS_NINE__3VRL__auto__0__1,0.8566595646250146,0.8566595646250146,
HIGH_VS_95LOW__3VRL__auto__0__1,0.8310711962140653,0.9122434862508998,0.7775649394797265
HIGH_VS_LOOSER__3VRL__auto__0__1,0.8906806529390097,0.8693266156750924,0.906882809942801
ONE_VS_NINE__3VRL__auto__0__2,0.8620234896388181,0.8620234896388181,
HIGH_VS_95LOW__3VRL__auto__0__2,0.8625230130826629,0.9084921292973206,0.8287530235260847
HIGH_VS_LOOSER__3VRL__auto__0__2,0.8794058629754654,0.8609346650305734,0.8928937097874742
ONE_VS_NINE__3VRL__auto__0__3,0.862553443386603,0.862553443386603,
HIGH_VS_95LOW__3VRL__auto__0__3,0.851128334252804,0.9117768341287988,0.8125909451868232
HIGH_VS_LOOSER__3VRL__auto__0__3,0.8697392793509051,0.8496366631742414,0.883568869425402
ONE_VS_NINE__3VRL__auto__0__4,0.8361508907802369,0.8361508907802369,
HIGH_VS_95LOW__3VRL__auto__0__4,0.8577653710057308,0.9161672766524565,0.8196999084949723
HIGH_VS_LOOSER__3VRL__auto__0__4,0.8996654713007888,0.8841725339416111,0.9099914168629398
ONE_VS_NINE__1NSN__auto__0__42,0.4818633811773545,0.4818633811773545,
HIGH_VS_95LOW__1NSN__auto__0__42,0.8203483392032223,0.6918750543184438,0.8081642188782626
HIGH_VS_LOOSER__1NSN__auto__0__42,0.3527959530998794,0.4170672767654958,0.2202125586489285
ONE_VS_NINE__1NSN__auto__1__42,0.5318977809189251,0.5318977809189251,
HIGH_VS_95LOW__1NSN__auto__1__42,0.7602581606875836,0.5872799504728015,0.7641079101075393
HIGH_VS_LOOSER__1NSN__auto__1__42,0.3134896410265776,0.3781642494217116,0.1712373328909009
ONE_VS_NINE__1NSN__auto__2__42,0.5116044884517211,0.5116044884517211,
HIGH_VS_95LOW__1NSN__auto__2__42,0.7642632039009422,0.6029995275285603,0.7723263352739396
