,ag,test type,repl,loss,acc,recall,prec,f1
0,3VRL,open,4,0.09099376946687698,0.9755102040816327,0.9518367346938775,0.9991431019708654,0.9749163879598661
1,3VRL,closed,4,0.19054198265075684,0.9385714285714286,0.9518367346938775,0.9272365805168986,0.9393756294058409
2,3VRL,open,8,0.08840230852365494,0.9768707482993197,0.954421768707483,0.9992877492877493,0.9763395963813499
3,3VRL,closed,8,0.189938023686409,0.9396598639455782,0.954421768707483,0.9270516717325228,0.9405376416169471
4,3VRL,open,10,0.09932900220155716,0.9719047619047619,0.9443537414965987,0.9994240460763139,0.9711087792934593
5,3VRL,closed,10,0.19456814229488373,0.9404081632653061,0.9443537414965987,0.9369600431965442,0.9406423634638841
6,3VRL,open,6,0.08907147496938705,0.9762585034013606,0.9531972789115646,0.9992868349736129,0.9756980711649607
7,3VRL,closed,6,0.18836556375026703,0.9396598639455782,0.9531972789115646,0.9280699430388131,0.9404658030740318
8,3VRL,open,2,0.09883246570825577,0.9734693877551021,0.9476190476190476,0.9992826398852224,0.9727653631284916
9,3VRL,closed,2,0.19994723796844482,0.9408843537414966,0.9476190476190476,0.9350248355483958,0.9412798162037975
10,3VRL,open,5,0.08946271985769272,0.9758503401360544,0.9523809523809523,0.9992862241256245,0.9752699407871821
11,3VRL,closed,5,0.1904374361038208,0.9380272108843537,0.9523809523809523,0.9258034651501125,0.9389041647106162
12,3VRL,open,9,0.09153202921152115,0.9749659863945578,0.9507482993197279,0.9991421218187018,0.9743446737311767
13,3VRL,closed,9,0.18980646133422852,0.9389115646258503,0.9507482993197279,0.9287612971823498,0.9396261933575367
14,3VRL,open,7,0.09367134422063828,0.9749659863945578,0.9506122448979591,0.9992848970251716,0.9743410960814392
15,3VRL,closed,7,0.19044004380702972,0.9402721088435374,0.9506122448979591,0.9313516395627832,0.9408833827093994
16,3VRL,open,3,0.08941195160150528,0.9760544217687075,0.9527891156462585,0.9992865296803652,0.9754840507034406
17,3VRL,closed,3,0.18932053446769714,0.9372789115646258,0.9527891156462585,0.9241224597519134,0.9382368703108253
18,3VRL,open,1,0.08995458483695984,0.9774149659863945,0.9553741496598639,0.9994306860233418,0.9769059543683917
19,3VRL,closed,1,0.18959754705429077,0.9397278911564626,0.9553741496598639,0.9263852242744063,0.9406563965170797
20,1NSN,open,3,0.1563771516084671,0.9376190476190476,0.8979591836734694,0.9753214127382888,0.9350428561309061
21,1NSN,closed,3,0.2556401789188385,0.8982993197278911,0.8979591836734694,0.89857045609258,0.8982647158897584
22,1NSN,open,1,0.16532538831233978,0.9365986394557824,0.8987755102040816,0.972328525169267,0.934106334841629
23,1NSN,closed,1,0.28225091099739075,0.8848299319727891,0.8987755102040816,0.8743878226340172,0.8864139550486414
24,1NSN,open,9,0.16934914886951447,0.9363265306122449,0.893061224489796,0.9776586237712243,0.9334470989761091
25,1NSN,closed,9,0.27336442470550537,0.8929931972789116,0.893061224489796,0.8929397360903278,0.8930004761580844
26,1NSN,open,5,0.17111435532569885,0.9341496598639456,0.8881632653061224,0.9781240635301168,0.9309754706217912
27,1NSN,closed,5,0.2765606939792633,0.8895238095238095,0.8881632653061224,0.8905866302864939,0.8893732970027247
28,1NSN,open,7,0.16417942941188812,0.9376190476190476,0.8940136054421769,0.9794306155909972,0.9347748773027954
29,1NSN,closed,7,0.27461615204811096,0.8896598639455783,0.8940136054421769,0.8862961963852172,0.8901381739366024
30,1NSN,open,10,0.1888062059879303,0.9243537414965987,0.8642176870748299,0.9823693164243736,0.9195136074116966
31,1NSN,closed,10,0.30701252818107605,0.8800680272108844,0.8642176870748299,0.8925108894196994,0.8781364484689292
32,1NSN,open,2,0.19301950931549072,0.9248979591836735,0.866938775510204,0.9806094182825484,0.9202772963604852
33,1NSN,closed,2,0.31145721673965454,0.8843537414965986,0.866938775510204,0.89822385114181,0.8823040708944891
34,1NSN,open,8,0.1712740808725357,0.9336054421768708,0.8857142857142857,0.9795365633463737,0.9302657902257788
35,1NSN,closed,8,0.2817566692829132,0.887891156462585,0.8857142857142857,0.889587318939601,0.8876465775838559
36,1NSN,open,4,0.16820064187049866,0.9344897959183673,0.893061224489796,0.9737427681352915,0.9316585054289972
37,1NSN,closed,4,0.26513057947158813,0.8956462585034014,0.893061224489796,0.8977024070021882,0.8953758013913518
38,1NSN,open,6,0.1632387787103653,0.9404081632653061,0.9100680272108843,0.9688586326767091,0.9385435667181143
39,1NSN,closed,6,0.270232617855072,0.8892517006802722,0.9100680272108843,0.8736938349007315,0.89151006264161
40,3RAJ,open,4,0.16525045037269592,0.9360544217687075,0.8738775510204082,0.9979801118707271,0.9318148846656028
41,3RAJ,closed,4,0.3248501420021057,0.8664625850340136,0.8738775510204082,0.8611073870492023,0.8674454723478966
42,3RAJ,open,8,0.15184374153614044,0.9455782312925171,0.8929251700680272,0.9980231143552312,0.9425534970558667
43,3RAJ,closed,8,0.32467275857925415,0.872517006802721,0.8929251700680272,0.8579084967320262,0.8750666666666667
44,3RAJ,open,6,0.17159853875637054,0.9339455782312925,0.8696598639455783,0.9979703356752537,0.9294074881861142
45,3RAJ,closed,6,0.3631342351436615,0.8517687074829932,0.8696598639455783,0.8396164455536582,0.8543741228363296
46,3RAJ,open,2,0.16417405009269714,0.936734693877551,0.8751020408163265,0.9981378026070763,0.9325793823401478
47,3RAJ,closed,2,0.32572299242019653,0.8660544217687075,0.8751020408163265,0.8595483095015368,0.8672554439425604
48,3RAJ,open,5,0.1491686850786209,0.9442857142857143,0.8903401360544217,0.998017385999695,0.9411087941324512
49,3RAJ,closed,5,0.3185234069824219,0.8704761904761905,0.8903401360544217,0.8563203349908401,0.872998932764141
50,3RAJ,open,9,0.1931695193052292,0.9210204081632654,0.843265306122449,0.9985500241662639,0.9143615844213322
51,3RAJ,closed,9,0.33929312229156494,0.8616326530612245,0.843265306122449,0.8754237288135593,0.8590436590436592
52,3RAJ,open,10,0.16223356127738953,0.9401360544217687,0.882312925170068,0.9976923076923077,0.9364620938628159
53,3RAJ,closed,10,0.3341895341873169,0.865578231292517,0.882312925170068,0.8537388098999473,0.8677907132343101
54,3RAJ,open,7,0.1504988819360733,0.9461904761904761,0.8941496598639456,0.9980258162490508,0.9432364549695011
55,3RAJ,closed,7,0.33225327730178833,0.8666666666666667,0.8941496598639456,0.8475625483621356,0.8702330508474576
56,3RAJ,open,3,0.16029785573482513,0.9404761904761905,0.8824489795918368,0.9983069108819456,0.9368094172022822
57,3RAJ,closed,3,0.3192604184150696,0.8727891156462585,0.8824489795918368,0.8657234383342232,0.8740061986255222
