,ag,test type,repl,loss,acc,recall,prec,f1
0,3VRL,open,6,0.9234979748725891,0.6500680272108843,0.9971428571428571,0.588580147767427,0.7402282597717403
1,3VRL,closed,6,0.033368099480867386,0.9917687074829932,0.9971428571428571,0.9865392381208776,0.9918127072197036
2,3VRL,open,4,0.9285711050033569,0.6474829931972789,0.9972789115646259,0.5867755363432597,0.7388368108053626
3,3VRL,closed,4,0.032002538442611694,0.9921768707482993,0.9972789115646259,0.9872053872053872,0.9922165820642977
4,3VRL,open,8,0.9452078342437744,0.6395238095238095,0.9975510204081632,0.5813050027749148,0.7345589340279517
5,3VRL,closed,8,0.033830851316452026,0.9918367346938776,0.9975510204081632,0.9862792574656981,0.9918831168831168
6,3VRL,open,2,0.9447086453437805,0.6417687074829932,0.9975510204081632,0.5828298887122416,0.7357752132463623
7,3VRL,closed,2,0.034301698207855225,0.9917006802721089,0.9975510204081632,0.986013986013986,0.991748951711078
8,3VRL,open,10,0.949921727180481,0.6393197278911564,0.9975510204081632,0.5811667723525682,0.7344485625563458
9,3VRL,closed,10,0.034607209265232086,0.9916326530612245,0.9975510204081632,0.9858814037918515,0.9916818827348346
10,3VRL,open,7,0.9163879752159119,0.648843537414966,0.9975510204081632,0.5876883616543764,0.7396348229597498
11,3VRL,closed,7,0.03328392654657364,0.9923809523809524,0.9975510204081632,0.9873417721518988,0.9924201407688144
12,3VRL,open,5,0.9534159302711487,0.6413605442176871,0.9974149659863946,0.5825651621106167,0.7355272398916426
13,3VRL,closed,5,0.03229731321334839,0.9922448979591837,0.9974149659863946,0.9872071101535147,0.992284786139686
14,3VRL,open,9,0.9027590155601501,0.6495238095238095,0.9972789115646259,0.5881880917990692,0.7399555824752675
15,3VRL,closed,9,0.03317362815141678,0.9924489795918368,0.9972789115646259,0.9877375016844091,0.9924852752014083
16,3VRL,open,1,0.9313640594482422,0.6460544217687075,0.997687074829932,0.5857496605160156,0.7381347828275203
17,3VRL,closed,1,0.034453943371772766,0.991904761904762,0.997687074829932,0.9862811028917283,0.9919513019952654
18,3VRL,open,3,0.9238967299461365,0.6469387755102041,0.9974149659863946,0.5863861782114862,0.7385653838404191
19,3VRL,closed,3,0.0332484096288681,0.9923809523809524,0.9974149659863946,0.9874730603448276,0.9924191146608907
20,1NSN,open,4,0.8730052709579468,0.6508843537414966,0.9854421768707483,0.5903977828496902,0.7384035069833826
