,ag,test type,trained on,repl,loss,acc,recall,prec,f1
0,3VRL,95low,looser,8,0.05737672746181488,0.9805442176870748,0.9614965986394558,0.9995756718528995,0.9801664355062413
1,3VRL,95low,looser,9,0.08686193078756332,0.9661224489795919,0.9326530612244898,0.9995625546806649,0.9649493243243243
2,3VRL,95low,looser,6,0.08902747929096222,0.9648979591836735,0.9302040816326531,0.999561403508772,0.9636363636363637
3,3VRL,95low,looser,2,0.08075438439846039,0.9700680272108844,0.9405442176870749,0.9995662232504338,0.9691574372634236
4,3VRL,95low,looser,3,0.08781011402606964,0.97,0.9404081632653061,0.9995661605206074,0.9690851735015773
5,3VRL,95low,looser,7,0.0762941986322403,0.9750340136054422,0.9507482993197279,0.9992849992849993,0.974412605452137
6,3VRL,95low,looser,4,0.06271366775035858,0.9772108843537415,0.9549659863945579,0.9994304428306992,0.9766924093786962
7,3VRL,95low,looser,5,0.08942541480064392,0.9691156462585034,0.9386394557823129,0.9995653433787308,0.9681448217793993
8,3VRL,95low,looser,1,0.07139687985181808,0.9744897959183674,0.9492517006802721,0.9997134259922625,0.9738292972293949
9,1NSN,95low,looser,7,0.1634175032377243,0.9469387755102041,0.9127891156462585,0.9797021028037384,0.9450626848851951
10,1NSN,95low,looser,3,0.16055132448673248,0.9419727891156463,0.9066666666666666,0.9755526277265407,0.939849093857979
11,1NSN,95low,looser,2,0.1541893184185028,0.9433333333333334,0.9057142857142857,0.9794026776519053,0.9411182582879764
12,1NSN,95low,looser,6,0.17071910202503204,0.9361904761904762,0.9020408163265307,0.9681658878504673,0.9339343569516834
13,1NSN,95low,looser,9,0.16742323338985443,0.9374149659863945,0.8995918367346939,0.9732116573447159,0.9349547511312217
14,1NSN,95low,looser,8,0.1605023443698883,0.9442176870748299,0.9119727891156463,0.9748400232693426,0.9423590608744551
15,1NSN,95low,looser,1,0.16388635337352753,0.9380952380952381,0.8987755102040816,0.9754873006497342,0.9355615351933153
16,1NSN,95low,looser,5,0.15572993457317352,0.9440816326530612,0.9129251700680272,0.973592571096924,0.9422833871647242
17,1NSN,95low,looser,4,0.15431152284145355,0.9443537414965987,0.9179591836734694,0.9691180695202528,0.9428451648965904
18,3RAJ,95low,looser,1,0.14417704939842224,0.9436734693877551,0.888843537414966,0.9983190709046454,0.9404059306175326
19,3RAJ,95low,looser,5,0.1517387330532074,0.9395238095238095,0.8804081632653061,0.9984570282363833,0.9357240980406334
20,3RAJ,95low,looser,4,0.129694864153862,0.9527210884353742,0.9073469387755102,0.9979051324255573,0.9504738829900947
21,3RAJ,95low,looser,7,0.16016113758087158,0.9372108843537414,0.8757823129251701,0.9984488909570343,0.9331013988548235
22,3RAJ,95low,looser,3,0.13708214461803436,0.9492517006802721,0.8998639455782312,0.9984903381642513,0.9466151424073279
23,3RAJ,95low,looser,2,0.1509293019771576,0.9377551020408164,0.8770068027210884,0.9982964224872232,0.933729267762729
24,3RAJ,95low,looser,6,0.15535515546798706,0.9406122448979591,0.8828571428571429,0.9981541301338256,0.9369720597790774
25,3RAJ,95low,looser,9,0.1427706629037857,0.9456462585034013,0.8931972789115646,0.9978720170238639,0.9426376624308996
26,3RAJ,95low,looser,8,0.12994758784770966,0.9484353741496598,0.898639455782313,0.9980356603203385,0.945733104238259
27,5E94,95low,looser,2,0.09852830320596695,0.9619727891156462,0.9247619047619048,0.9991180361605174,0.9605030735533103
28,5E94,95low,looser,6,0.1020960584282875,0.9610884353741497,0.9225850340136055,0.9995577830188679,0.9595302108391115
29,5E94,95low,looser,7,0.11880447715520859,0.9566666666666667,0.9140136054421769,0.9992562843968467,0.954736019327791
30,5E94,95low,looser,3,0.09464859217405319,0.9636054421768707,0.9282993197278911,0.9988288683940858,0.9622734644947465
31,5E94,95low,looser,8,0.10469257086515427,0.96,0.9210884353741496,0.9988197108291531,0.9583805209513023
32,5E94,95low,looser,9,0.13782240450382233,0.957687074829932,0.9164625850340136,0.9988137603795967,0.9558677451397758
33,5E94,95low,looser,4,0.10572319477796555,0.963469387755102,0.9277551020408163,0.9991208791208791,0.9621164021164021
34,5E94,95low,looser,1,0.09407203644514084,0.9640136054421768,0.9292517006802721,0.9986840181313057,0.9627175981394037
35,5E94,95low,looser,5,0.11101933568716049,0.9566666666666667,0.9138775510204081,0.9994048504686802,0.9547295856726601
36,1H0D,95low,looser,6,0.14605140686035156,0.94,0.8956462585034014,0.9828306957300686,0.9372152619589977
37,1H0D,95low,looser,2,0.13623590767383575,0.9484353741496598,0.9125170068027211,0.9831427733802404,0.9465142534575218
38,1H0D,95low,looser,3,0.16246238350868225,0.9374149659863945,0.8938775510204081,0.9791356184798807,0.9345661450924609
39,1H0D,95low,looser,7,0.15571372210979462,0.9442176870748299,0.902312925170068,0.9848529848529849,0.9417779040045442
40,1H0D,95low,looser,8,0.14237891137599945,0.9502721088435374,0.9148299319727892,0.9846243959584127,0.9484448832780874
41,1H0D,95low,looser,9,0.17032907903194427,0.9363945578231293,0.891156462585034,0.9798055347793567,0.9333808336302102
42,1H0D,95low,looser,4,0.14800851047039032,0.9441496598639456,0.9061224489795918,0.9807097629215138,0.9419418711547981
43,1H0D,95low,looser,5,0.1482020765542984,0.9427210884353742,0.9029931972789116,0.9809340821755838,0.9403513743270048
44,1H0D,95low,looser,1,0.15117400884628296,0.9447619047619048,0.9047619047619048,0.9834368530020704,0.9424603174603174
45,1WEJ,95low,looser,4,0.10946206748485565,0.9585034013605442,0.9229931972789116,0.9935559461042766,0.9569755959937932
46,1WEJ,95low,looser,1,0.11320450901985168,0.9597959183673469,0.9274829931972789,0.9915636363636363,0.9584534270650263
47,1WEJ,95low,looser,5,0.12127072364091873,0.9542857142857143,0.9138775510204081,0.9942273534635879,0.9523606975754998
48,1WEJ,95low,looser,8,0.12722566723823547,0.9517687074829932,0.9099319727891156,0.9930215293244247,0.949662761803337
49,1WEJ,95low,looser,9,0.11518701910972595,0.9568027210884353,0.9195918367346939,0.9935322651771278,0.955133187310111
50,1WEJ,95low,looser,2,0.12904982268810272,0.9522448979591837,0.9091156462585034,0.9949374627754616,0.9500924214417745
51,1WEJ,95low,looser,6,0.11341029405593872,0.9580952380952381,0.9216326530612244,0.9941297329028471,0.956509460604349
52,1WEJ,95low,looser,7,0.12042716890573502,0.9572789115646259,0.9217687074829932,0.9922378441710603,0.9557060234165609
53,1WEJ,95low,looser,3,0.12623411417007446,0.9519727891156463,0.9099319727891156,0.9934640522875817,0.949865075983525
54,1ADQ,95low,looser,4,0.20739096403121948,0.9101360544217687,0.8306122448979592,0.9877042549749232,0.9023723302047151
55,1ADQ,95low,looser,1,0.18357598781585693,0.9280272108843537,0.8663945578231292,0.9882060831781502,0.9232999855009425
56,1ADQ,95low,looser,5,0.22326667606830597,0.9037414965986394,0.8160544217687075,0.9896056756310839,0.8944895980911192
57,1ADQ,95low,looser,8,0.18871742486953735,0.9159183673469388,0.8423129251700681,0.9877153797064454,0.9092377735350272
58,1ADQ,95low,looser,9,0.17877964675426483,0.9296598639455782,0.8699319727891156,0.9879480840543882,0.9251917233396035
59,1ADQ,95low,looser,2,0.20246444642543793,0.9151020408163265,0.8408163265306122,0.987535953978907,0.908289241622575
60,1ADQ,95low,looser,6,0.19436301290988922,0.92,0.8518367346938776,0.9862948960302458,0.9141480508103372
61,1ADQ,95low,looser,7,0.17305046319961548,0.932108843537415,0.8768707482993198,0.9857754665035179,0.928139400921659
62,1ADQ,95low,looser,3,0.18074949085712433,0.9271428571428572,0.8643537414965986,0.9884860743737358,0.9222617405821297
63,1FBI,95low,looser,9,0.033846400678157806,0.992108843537415,0.9868027210884354,0.9973872387238724,0.9920667487347833
64,1FBI,95low,looser,8,0.12505218386650085,0.9868707482993198,0.9768707482993197,0.996806886019714,0.9867381295952725
65,1FBI,95low,looser,3,0.045783236622810364,0.9879591836734694,0.9789115646258504,0.9969516419564917,0.9878492483009543
66,1FBI,95low,looser,7,0.04327651858329773,0.9887755102040816,0.9795918367346939,0.997920997920998,0.9886714727085479
67,1FBI,95low,looser,6,0.05037662759423256,0.9853741496598639,0.9734693877551021,0.997212543554007,0.9851979345955251
68,1FBI,95low,looser,2,0.042143091559410095,0.9908843537414966,0.984625850340136,0.9971066409479196,0.9908269441401971
69,1FBI,95low,looser,5,0.03339187800884247,0.9936054421768707,0.9897959183673469,0.9973951192761173,0.9935809888008741
70,1FBI,95low,looser,1,0.04469603672623634,0.9890476190476191,0.9806802721088436,0.9973709699737097,0.9889552034026204
71,1FBI,95low,looser,4,0.08688495308160782,0.9692517006802721,0.9431292517006803,0.9951191501579099,0.9684269348980162
72,2YPV,95low,looser,4,0.0827268660068512,0.9693197278911565,0.950204081632653,0.9879756684113736,0.9687218253693043
73,2YPV,95low,looser,5,0.09302083402872086,0.9642176870748299,0.9382312925170068,0.9896670493685419,0.9632630255622293
74,2YPV,95low,looser,1,0.08225222676992416,0.9692517006802721,0.9508843537414966,0.9871468926553673,0.9686763686763687
75,2YPV,95low,looser,8,0.08269666135311127,0.9692517006802721,0.9511564625850341,0.9868718238283456,0.9686850491894138
76,2YPV,95low,looser,9,0.08952215313911438,0.9651700680272108,0.9413605442176871,0.9884285714285714,0.9643205574912892
77,2YPV,95low,looser,6,0.0853077843785286,0.9696598639455782,0.9499319727891157,0.9889518413597733,0.9690492713393477
78,2YPV,95low,looser,2,0.09331229329109192,0.9648299319727891,0.942312925170068,0.9867502493232654,0.9640197647713828
79,2YPV,95low,looser,3,0.09110652655363083,0.9654421768707483,0.9428571428571428,0.987460815047022,0.9646436525612471
80,2YPV,95low,looser,7,0.08187409490346909,0.9697278911564626,0.9481632653061225,0.99090004265605,0.9690606966557742
81,1OB1,95low,looser,9,0.11864960193634033,0.9582993197278912,0.9195918367346939,0.9967556407609497,0.9566201967305924
82,1OB1,95low,looser,8,0.10183229297399521,0.963469387755102,0.929795918367347,0.9969365426695842,0.9621964097148891
83,1OB1,95low,looser,7,0.13031181693077087,0.9518367346938775,0.9095238095238095,0.9936087990487514,0.9497087654496377
84,1OB1,95low,looser,3,0.12637628614902496,0.9535374149659864,0.9093877551020408,0.9974630652141472,0.9513913600455484
85,1OB1,95low,looser,2,0.11240176111459732,0.9602721088435374,0.9231292517006803,0.9972075249853027,0.9587395789176205
86,1OB1,95low,looser,6,0.1082366406917572,0.9608843537414966,0.9244897959183673,0.9970652971386648,0.9594069890575362
87,1OB1,95low,looser,1,0.134877547621727,0.9525850340136054,0.9093877551020408,0.9953834698436337,0.950444365446143
88,1OB1,95low,looser,5,0.12030649185180664,0.9568707482993197,0.9161904761904762,0.9973341232227488,0.9550418380371579
89,1OB1,95low,looser,4,0.11213713139295578,0.96,0.9229931972789116,0.9967675580370261,0.9584628426109071
0,3VRL,1 vs all,looser,8,0.10765906423330307,0.9693072002177759,0.9614965986394558,0.9767795438838978,0.9690778196777511
1,3VRL,1 vs all,looser,9,0.13452860713005066,0.955219817612631,0.9326530612244898,0.9767740096893702,0.9542037861915367
2,3VRL,1 vs all,looser,6,0.13555847108364105,0.9544031577514632,0.9302040816326531,0.9775521875893624,0.9532905744562187
3,3VRL,1 vs all,looser,2,0.12537527084350586,0.9602558867564992,0.9405442176870749,0.9791784702549575,0.9594725884802221
4,3VRL,1 vs all,looser,3,0.1365240216255188,0.9573295222539813,0.9404081632653061,0.973384030418251,0.9566119991696076
5,3VRL,1 vs all,looser,7,0.21005892753601074,0.9621614264325575,0.9507482993197279,0.9729880256196045,0.961739609138453
6,3VRL,1 vs all,looser,4,0.11937227100133896,0.9658363958078127,0.9549659863945579,0.9762169680111266,0.965474552957359
7,3VRL,1 vs all,looser,5,0.19884152710437775,0.958146182115149,0.9386394557823129,0.9767804049270848,0.9573301880246999
8,3VRL,1 vs all,looser,1,0.12078835815191269,0.9635225262011705,0.9492517006802721,0.9771708683473389,0.963008971704624
9,1NSN,1 vs all,looser,7,0.5567126274108887,0.8895467537770518,0.9127891156462585,0.8723182941099987,0.8920949404959777
10,1NSN,1 vs all,looser,3,0.3911435604095459,0.8780454607322716,0.9066666666666666,0.8576576576576577,0.8814814814814814
11,1NSN,1 vs all,looser,2,0.36849260330200195,0.8761399210562134,0.9057142857142857,0.8552158273381295,0.879740980573543
12,1NSN,1 vs all,looser,6,0.42495518922805786,0.8813801551653736,0.9020408163265307,0.866326930615445,0.8838232353529294
13,1NSN,1 vs all,looser,9,0.3466857969760895,0.8860759493670886,0.8995918367346939,0.875993640699523,0.8876359242851389
14,1NSN,1 vs all,looser,8,0.38400498032569885,0.87368994147271,0.9119727891156463,0.8471941354903944,0.8783907744725462
15,1NSN,1 vs all,looser,1,0.4733317196369171,0.8886620389274534,0.8987755102040816,0.8810349426513737,0.8898168103448276
16,1NSN,1 vs all,looser,5,0.44806891679763794,0.8825370899686947,0.9129251700680272,0.8606977937403797,0.8860425194770897
17,1NSN,1 vs all,looser,4,0.4011183977127075,0.8679052674561045,0.9179591836734694,0.8345083487940631,0.8742468415937804
18,3RAJ,1 vs all,looser,1,0.3982483446598053,0.8586497890295358,0.888843537414966,0.8383164378288207,0.8628409165951264
19,3RAJ,1 vs all,looser,5,0.4039457440376282,0.8595345038791343,0.8804081632653061,0.8452194357366771,0.8624550179928029
20,3RAJ,1 vs all,looser,4,0.375776469707489,0.8650469579420171,0.9073469387755102,0.8366578848325179,0.8705698061484238
21,3RAJ,1 vs all,looser,7,0.40358877182006836,0.8534095549203756,0.8757823129251701,0.8383693670226622,0.8566675538993879
22,3RAJ,1 vs all,looser,3,0.356220543384552,0.870151082074316,0.8998639455782312,0.8494734138196763,0.8739429175475687
23,3RAJ,1 vs all,looser,2,0.36569035053253174,0.8649108479651558,0.8770068027210884,0.8563836853992295,0.8665725616723802
24,3RAJ,1 vs all,looser,6,0.39894530177116394,0.8561998094460324,0.8828571428571429,0.8382637902079835,0.8599827711881254
25,3RAJ,1 vs all,looser,9,0.39695432782173157,0.8610997686130394,0.8931972789115646,0.8394067254826748,0.8654670094258783
26,3RAJ,1 vs all,looser,8,0.37004169821739197,0.8616442085204845,0.898639455782313,0.8368174331686304,0.8666273043364168
27,5E94,1 vs all,looser,2,0.458347350358963,0.8918117343649259,0.9247619047619048,0.8579904064630144,0.8901257202723939
28,5E94,1 vs all,looser,6,0.46535152196884155,0.8905867182462928,0.9225850340136055,0.8573776710077128,0.8887869454092667
29,5E94,1 vs all,looser,7,0.47528326511383057,0.8827208252740167,0.9140136054421769,0.8498418722327641,0.8807604064241232
30,5E94,1 vs all,looser,3,0.45342475175857544,0.8934235976789169,0.9282993197278911,0.8583469618819978,0.8919537224655206
31,5E94,1 vs all,looser,8,0.47193092107772827,0.8898774983881367,0.9210884353741496,0.8571790326664979,0.8879853095487932
32,5E94,1 vs all,looser,9,0.7524600028991699,0.8837524177949709,0.9164625850340136,0.8499684542586751,0.8819639934533552
33,5E94,1 vs all,looser,4,0.48631563782691956,0.8931012250161187,0.9277551020408163,0.8581676315127108,0.8916056485355649
34,5E94,1 vs all,looser,1,0.4787787199020386,0.893230174081238,0.9292517006802721,0.8573939241777555,0.8918777748759467
35,5E94,1 vs all,looser,5,0.4137900173664093,0.8920051579626048,0.9138775510204081,0.8657043433432143,0.8891389238202395
36,1H0D,1 vs all,looser,6,0.5191017389297485,0.8084252075677147,0.8956462585034014,0.7627157919128722,0.8238533258244164
37,1H0D,1 vs all,looser,2,0.5133073329925537,0.8266639444671294,0.9125170068027211,0.7788874695157357,0.8404235323601279
38,1H0D,1 vs all,looser,3,0.5609682202339172,0.7927725602286647,0.8938775510204081,0.7436332767402377,0.8118628359592215
39,1H0D,1 vs all,looser,7,0.6179805994033813,0.8131210017694297,0.902312925170068,0.7658198614318706,0.8284821986258588
40,1H0D,1 vs all,looser,8,0.5652042031288147,0.8141418265958895,0.9148299319727892,0.7615811530184619,0.8312009394894616
41,1H0D,1 vs all,looser,9,0.5180830955505371,0.7970600244997958,0.891156462585034,0.750114521300962,0.8145753015794055
42,1H0D,1 vs all,looser,4,0.5310239791870117,0.8075404927181162,0.9061224489795918,0.756990225051148,0.824869952935348
43,1H0D,1 vs all,looser,5,0.49870532751083374,0.8192459507281884,0.9029931972789116,0.7735431235431235,0.8332705586942875
44,1H0D,1 vs all,looser,1,0.5140810608863831,0.8125765618619845,0.9047619047619048,0.7640165441176471,0.8284539678584777
45,1WEJ,1 vs all,looser,4,0.27733713388442993,0.9008438818565401,0.9229931972789116,0.8839087947882737,0.903028286189684
46,1WEJ,1 vs all,looser,1,0.3749631345272064,0.8820607050496801,0.9274829931972789,0.8503180740925533,0.887225873625301
47,1WEJ,1 vs all,looser,5,0.29074326157569885,0.892064788348986,0.9138775510204081,0.8757496740547588,0.8944074567243675
48,1WEJ,1 vs all,looser,8,0.2834990918636322,0.8943786579556281,0.9099319727891156,0.8825547637899182,0.8960342979635584
49,1WEJ,1 vs all,looser,9,0.32864952087402344,0.8911800734993875,0.9195918367346939,0.8702201622247973,0.8942250446517167
50,1WEJ,1 vs all,looser,2,0.3187393248081207,0.8922008983258473,0.9091156462585034,0.879441958410108,0.894032646507894
51,1WEJ,1 vs all,looser,6,0.31854766607284546,0.8928814482101538,0.9216326530612244,0.8715903242408647,0.8959132389895517
52,1WEJ,1 vs all,looser,7,0.30786412954330444,0.894991152851504,0.9217687074829932,0.8749838563864135,0.8977671768369442
53,1WEJ,1 vs all,looser,3,0.282225102186203,0.8943786579556281,0.9099319727891156,0.8825547637899182,0.8960342979635584
54,1ADQ,1 vs all,looser,4,0.412087619304657,0.8328569484143188,0.8306122448979592,0.8344723892837617,0.8325378426292105
55,1ADQ,1 vs all,looser,1,0.4077005088329315,0.836531917789574,0.8663945578231292,0.8176682074987159,0.841326463205179
56,1ADQ,1 vs all,looser,5,0.38839977979660034,0.8428610317136246,0.8160544217687075,0.8624011502516176,0.8385879063264593
57,1ADQ,1 vs all,looser,8,0.4153546392917633,0.817748740982714,0.8423129251700681,0.8029831387808042,0.8221779548472775
58,1ADQ,1 vs all,looser,9,0.4020240008831024,0.8416360419218729,0.8699319727891156,0.8234385061171925,0.846046973205425
59,1ADQ,1 vs all,looser,2,0.42970216274261475,0.8265958894786988,0.8408163265306122,0.8176766340301667,0.8290850550040246
60,1ADQ,1 vs all,looser,6,0.4016856551170349,0.8348985980672383,0.8518367346938776,0.8240326401684653,0.8377040406743377
61,1ADQ,1 vs all,looser,7,0.4071688950061798,0.8375527426160337,0.8768707482993198,0.8130440267440393,0.843752045558683
62,1ADQ,1 vs all,looser,3,0.37878838181495667,0.8483734857765074,0.8643537414965986,0.8376845991561181,0.8508102316860855
63,1FBI,1 vs all,looser,9,0.1558055281639099,0.9727780046277392,0.9868027210884354,0.9598994176813128,0.9731651683885683
64,1FBI,1 vs all,looser,8,0.7313503623008728,0.9665169456921192,0.9768707482993197,0.9570781125033324,0.9668731483975221
65,1FBI,1 vs all,looser,3,0.18638907372951508,0.9652239009119369,0.9789115646258504,0.9528539266322341,0.9657069995302329
