,ag,test type,trained on,repl,loss,acc,recall,prec,f1
0,3VRL,looser,looser,4,0.19054199755191803,0.9385714285714286,0.9518367346938775,0.9272365805168986,0.9393756294058409
1,3VRL,looser,looser,8,0.189938023686409,0.9396598639455782,0.954421768707483,0.9270516717325228,0.9405376416169471
2,3VRL,looser,looser,10,0.19456814229488373,0.9404081632653061,0.9443537414965987,0.9369600431965442,0.9406423634638841
3,3VRL,looser,looser,6,0.18836557865142822,0.9396598639455782,0.9531972789115646,0.9280699430388131,0.9404658030740318
4,3VRL,looser,looser,2,0.19994723796844482,0.9408843537414966,0.9476190476190476,0.9350248355483958,0.9412798162037975
5,3VRL,looser,looser,5,0.1904374361038208,0.9380272108843537,0.9523809523809523,0.9258034651501125,0.9389041647106162
6,3VRL,looser,looser,9,0.18980643153190613,0.9389115646258503,0.9507482993197279,0.9287612971823498,0.9396261933575367
7,3VRL,looser,looser,7,0.19044002890586853,0.9402721088435374,0.9506122448979591,0.9313516395627832,0.9408833827093994
8,3VRL,looser,looser,3,0.18932051956653595,0.9372789115646258,0.9527891156462585,0.9241224597519134,0.9382368703108253
9,3VRL,looser,looser,1,0.18959751725196838,0.9397278911564626,0.9553741496598639,0.9263852242744063,0.9406563965170797
10,1NSN,looser,looser,3,0.2556401789188385,0.8982993197278911,0.8979591836734694,0.89857045609258,0.8982647158897584
11,1NSN,looser,looser,1,0.28225094079971313,0.8848299319727891,0.8987755102040816,0.8743878226340172,0.8864139550486414
12,1NSN,looser,looser,9,0.27336442470550537,0.8929931972789116,0.893061224489796,0.8929397360903278,0.8930004761580844
13,1NSN,looser,looser,5,0.2765606939792633,0.8895238095238095,0.8881632653061224,0.8905866302864939,0.8893732970027247
14,1NSN,looser,looser,7,0.2746161222457886,0.8896598639455783,0.8940136054421769,0.8862961963852172,0.8901381739366024
15,1NSN,looser,looser,10,0.30701252818107605,0.8800680272108844,0.8642176870748299,0.8925108894196994,0.8781364484689292
16,1NSN,looser,looser,2,0.31145721673965454,0.8843537414965986,0.866938775510204,0.89822385114181,0.8823040708944891
17,1NSN,looser,looser,8,0.2817566692829132,0.887891156462585,0.8857142857142857,0.889587318939601,0.8876465775838559
18,1NSN,looser,looser,4,0.26513057947158813,0.8956462585034014,0.893061224489796,0.8977024070021882,0.8953758013913518
19,1NSN,looser,looser,6,0.270232617855072,0.8892517006802722,0.9100680272108843,0.8736938349007315,0.89151006264161
20,3RAJ,looser,looser,4,0.3248501420021057,0.8664625850340136,0.8738775510204082,0.8611073870492023,0.8674454723478966
21,3RAJ,looser,looser,8,0.32467275857925415,0.872517006802721,0.8929251700680272,0.8579084967320262,0.8750666666666667
22,3RAJ,looser,looser,6,0.3631342351436615,0.8517687074829932,0.8696598639455783,0.8396164455536582,0.8543741228363296
23,3RAJ,looser,looser,2,0.32572299242019653,0.8660544217687075,0.8751020408163265,0.8595483095015368,0.8672554439425604
24,3RAJ,looser,looser,5,0.3185234069824219,0.8704761904761905,0.8903401360544217,0.8563203349908401,0.872998932764141
25,3RAJ,looser,looser,9,0.33929315209388733,0.8616326530612245,0.843265306122449,0.8754237288135593,0.8590436590436592
26,3RAJ,looser,looser,10,0.3341895341873169,0.865578231292517,0.882312925170068,0.8537388098999473,0.8677907132343101
27,3RAJ,looser,looser,7,0.33225327730178833,0.8666666666666667,0.8941496598639456,0.8475625483621356,0.8702330508474576
28,3RAJ,looser,looser,3,0.3192604184150696,0.8727891156462585,0.8824489795918368,0.8657234383342232,0.8740061986255222
29,3RAJ,looser,looser,1,0.3290692865848541,0.8670748299319728,0.8891156462585034,0.8515767526713578,0.8699414270500532
30,5E94,looser,looser,2,0.23398272693157196,0.9102040816326531,0.9240816326530612,0.8991262907069102,0.9114331723027376
31,5E94,looser,looser,6,0.23815152049064636,0.9082993197278911,0.9248979591836735,0.8951804055833553,0.909796573875803
32,5E94,looser,looser,8,0.23336337506771088,0.9137414965986395,0.9257142857142857,0.9040659048631411,0.9147620328045174
33,5E94,looser,looser,4,0.23539219796657562,0.9147619047619048,0.927891156462585,0.9041495426222989,0.9158665144698852
34,5E94,looser,looser,1,0.2401573210954666,0.91,0.9254421768707483,0.8977167744489903,0.911368660815971
35,5E94,looser,looser,10,0.24749545753002167,0.9087755102040816,0.9122448979591836,0.905958654235914,0.9090909090909091
36,5E94,looser,looser,3,0.2349325716495514,0.9110204081632653,0.9323809523809524,0.8941805845511482,0.9128813107766085
37,5E94,looser,looser,7,0.23522411286830902,0.9121768707482993,0.9287074829931973,0.8989859080732253,0.9136050324566686
38,5E94,looser,looser,9,0.24064449965953827,0.9080952380952381,0.932108843537415,0.8893937426976503,0.9102504484155983
39,5E94,looser,looser,5,0.24176520109176636,0.9112925170068027,0.9213605442176871,0.903174179781275,0.9121767241379312
40,1H0D,looser,looser,6,0.3067037761211395,0.8766666666666667,0.8900680272108844,0.866834503776335,0.8782976438209037
41,1H0D,looser,looser,8,0.3010159730911255,0.8801360544217687,0.8964625850340137,0.8681159420289855,0.8820615796519411
42,1H0D,looser,looser,4,0.32022029161453247,0.8712925170068028,0.8964625850340137,0.8534974093264248,0.8744525547445255
43,1H0D,looser,looser,10,0.30387377738952637,0.8782312925170068,0.8995918367346939,0.8627348643006263,0.8807779405887838
44,1H0D,looser,looser,2,0.30646252632141113,0.8770748299319728,0.9034013605442177,0.8582137779501099,0.8802280108702857
45,1H0D,looser,looser,7,0.3018207252025604,0.8804761904761905,0.8997278911564626,0.8663697104677061,0.8827337649335915
46,1H0D,looser,looser,9,0.3060794174671173,0.8755102040816326,0.8993197278911564,0.8584415584415584,0.878405315614618
47,1H0D,looser,looser,5,0.2962704300880432,0.8861904761904762,0.896734693877551,0.8782145236508994,0.8873779872096937
48,1H0D,looser,looser,1,0.30292150378227234,0.8806122448979592,0.896734693877551,0.8687228153420324,0.8825065274151437
49,1H0D,looser,looser,3,0.29601097106933594,0.8842857142857142,0.9048979591836734,0.8690709525676206,0.886622675464907
50,1WEJ,looser,looser,2,0.2566871643066406,0.9012925170068027,0.9235374149659864,0.8841995571186662,0.9034404738138018
51,1WEJ,looser,looser,10,0.2662367522716522,0.9023809523809524,0.9206802721088435,0.8881743010893818,0.9041352127730643
52,1WEJ,looser,looser,8,0.2581459879875183,0.9022448979591837,0.9219047619047619,0.8870270977876685,0.9041296951097472
53,1WEJ,looser,looser,4,0.26691025495529175,0.9040816326530612,0.9201360544217687,0.8915106775639335,0.9055972147830744
54,1WEJ,looser,looser,6,0.2595515549182892,0.9055102040816326,0.9216326530612244,0.8928430209568999,0.9070094396465154
55,1WEJ,looser,looser,3,0.26632505655288696,0.8919047619047619,0.9152380952380952,0.8744313011828936,0.8943694741740343
56,1WEJ,looser,looser,1,0.25921890139579773,0.9037414965986394,0.9194557823129251,0.8914391241261047,0.905230728015538
57,1WEJ,looser,looser,9,0.2562316954135895,0.9030612244897959,0.9205442176870748,0.8894439332194032,0.904726883733369
58,1WEJ,looser,looser,5,0.2639870047569275,0.9045578231292517,0.917687074829932,0.8942065491183879,0.905794668636272
59,1WEJ,looser,looser,7,0.25969284772872925,0.8998639455782312,0.9307482993197279,0.8766017426960533,0.9028639303154283
60,1ADQ,looser,looser,2,0.3837815225124359,0.829047619047619,0.8642176870748299,0.8074234142621075,0.8348557534336597
61,1ADQ,looser,looser,6,0.38826513290405273,0.8282993197278912,0.8382312925170068,0.8219050160085379,0.8299878755220261
62,1ADQ,looser,looser,8,0.3830847442150116,0.8320408163265306,0.8398639455782313,0.8269256530475553,0.8333445831927101
