,ag,test type,trained on,repl,loss,acc,recall,prec,f1
0,3VRL,looser,95low,4,1.097259521484375,0.7179591836734693,0.99578231292517,0.6401084484869687,0.7792802385008517
1,3VRL,looser,95low,5,1.2914526462554932,0.7275510204081632,0.9965986394557823,0.6479433878814683,0.7853122487268828
2,3VRL,looser,95low,1,1.1559534072875977,0.7197278911564626,0.9961904761904762,0.6414929034519011,0.7804306118098485
3,3VRL,looser,95low,8,1.1695340871810913,0.7113605442176871,0.9971428571428571,0.6344905203012726,0.7755145230411089
4,3VRL,looser,95low,9,1.232399582862854,0.6939455782312925,0.9970068027210884,0.6207539178314274,0.7651265987992691
5,3VRL,looser,95low,6,1.3725569248199463,0.698843537414966,0.9971428571428571,0.6245419684703877,0.768037725962798
6,3VRL,looser,95low,2,0.9834889769554138,0.7397959183673469,0.9951020408163266,0.6587408808430154,0.792716631442042
7,3VRL,looser,95low,3,1.1085931062698364,0.7164625850340136,0.9971428571428571,0.6386371558034158,0.778604058217359
8,3VRL,looser,95low,7,1.049039363861084,0.7289115646258504,0.9959183673469387,0.6492239467849223,0.7860402684563759
9,1NSN,looser,95low,5,1.1888983249664307,0.6910204081632653,0.985578231292517,0.6202054794520548,0.7613242249080399
10,1NSN,looser,95low,1,1.1619607210159302,0.6927891156462586,0.984625850340136,0.6217353951890034,0.7621906266456031
11,1NSN,looser,95low,4,1.1361299753189087,0.6928571428571428,0.9823129251700681,0.6221456268849633,0.7618042732788183
12,1NSN,looser,95low,9,0.8729435205459595,0.7206802721088436,0.9835374149659863,0.6446406277866952,0.7788192199956906
13,1NSN,looser,95low,8,1.1473851203918457,0.6952380952380952,0.9806802721088436,0.6242854668283389,0.7629127857747671
14,1NSN,looser,95low,3,1.161347508430481,0.6778231292517006,0.9877551020408163,0.6097765832353436,0.7540506855006232
15,1NSN,looser,95low,7,1.1303635835647583,0.6863945578231293,0.9814965986394558,0.617214236824093,0.7578527156213888
16,1NSN,looser,95low,6,1.062682867050171,0.7059863945578231,0.9806802721088436,0.632946961714085,0.7693457145906714
17,1NSN,looser,95low,2,1.1211801767349243,0.6984353741496598,0.9817687074829932,0.6266608771168042,0.7650145772594753
18,3RAJ,looser,95low,7,1.3728936910629272,0.6754421768707483,0.9968707482993198,0.6067908902691511,0.7543886743886744
19,3RAJ,looser,95low,3,1.2425308227539062,0.6918367346938775,0.9952380952380953,0.6193903471634208,0.7635699373695198
20,3RAJ,looser,95low,2,1.2005165815353394,0.6963945578231292,0.9946938775510205,0.6230080954409885,0.7661514278228976
21,3RAJ,looser,95low,6,1.3484336137771606,0.6758503401360544,0.9965986394557823,0.6071280563613759,0.7545712078289983
22,3RAJ,looser,95low,9,1.6655820608139038,0.6602040816326531,0.9972789115646259,0.5956928078017066,0.7458661918087
23,3RAJ,looser,95low,8,1.3965764045715332,0.6692517006802721,0.9965986394557823,0.6022858082552212,0.750820008200082
24,3RAJ,looser,95low,1,1.4865952730178833,0.6904761904761905,0.9953741496598639,0.6183231913455037,0.7627984568866646
25,3RAJ,looser,95low,5,1.2805912494659424,0.694421768707483,0.9974149659863946,0.6210606574042697,0.7654797953430094
26,3RAJ,looser,95low,4,1.3196113109588623,0.6870068027210884,0.9963265306122449,0.6155333277296797,0.7609497584039071
27,5E94,looser,95low,5,1.4088876247406006,0.6922448979591836,0.996734693877551,0.619482496194825,0.7640801001251566
28,5E94,looser,95low,1,1.375014305114746,0.6921768707482994,0.997687074829932,0.6192889114095094,0.7642123912250535
