,ag,test type,trained on,repl,loss,acc,recall,prec,f1
0,3VRL,looser,95low,6,0.9234980344772339,0.6500680272108843,0.9971428571428571,0.588580147767427,0.7402282597717403
1,3VRL,looser,95low,4,0.9285711050033569,0.6474829931972789,0.9972789115646259,0.5867755363432597,0.7388368108053626
2,3VRL,looser,95low,8,0.9452078342437744,0.6395238095238095,0.9975510204081632,0.5813050027749148,0.7345589340279517
3,3VRL,looser,95low,2,0.9447086453437805,0.6417687074829932,0.9975510204081632,0.5828298887122416,0.7357752132463623
4,3VRL,looser,95low,10,0.9499217867851257,0.6393197278911564,0.9975510204081632,0.5811667723525682,0.7344485625563458
5,3VRL,looser,95low,7,0.9163878560066223,0.648843537414966,0.9975510204081632,0.5876883616543764,0.7396348229597498
6,3VRL,looser,95low,5,0.9534159898757935,0.6413605442176871,0.9974149659863946,0.5825651621106167,0.7355272398916426
7,3VRL,looser,95low,9,0.9027590155601501,0.6495238095238095,0.9972789115646259,0.5881880917990692,0.7399555824752675
8,3VRL,looser,95low,1,0.9313639402389526,0.6460544217687075,0.997687074829932,0.5857496605160156,0.7381347828275203
9,3VRL,looser,95low,3,0.9238967299461365,0.6469387755102041,0.9974149659863946,0.5863861782114862,0.7385653838404191
10,1NSN,looser,95low,4,0.8730052709579468,0.6508843537414966,0.9854421768707483,0.5903977828496902,0.7384035069833826
11,1NSN,looser,95low,8,0.8742873668670654,0.6578231292517007,0.9821768707482993,0.595725367222314,0.7416272858023423
12,1NSN,looser,95low,6,0.8992503881454468,0.6594557823129251,0.9770068027210884,0.5975203860875353,0.7415324246179266
13,1NSN,looser,95low,2,0.8775219321250916,0.651156462585034,0.9821768707482993,0.5909462999345121,0.7379127057139937
14,1NSN,looser,95low,10,0.8570201396942139,0.6624489795918367,0.9806802721088436,0.5992683737944795,0.7439364227474455
15,1NSN,looser,95low,5,0.8706703186035156,0.655578231292517,0.9854421768707483,0.5937371915730798,0.7410097703207326
16,1NSN,looser,95low,9,0.8739792108535767,0.6576870748299319,0.977687074829932,0.5961506553841048,0.7406720263863121
17,1NSN,looser,95low,7,0.8496121764183044,0.6654421768707482,0.9805442176870748,0.6014855616758471,0.7456031450444858
18,1NSN,looser,95low,3,0.857250988483429,0.661156462585034,0.9814965986394558,0.5982253918235343,0.743366479468288
19,1NSN,looser,95low,1,0.8766123056411743,0.6593197278911564,0.9857142857142858,0.5963944682252222,0.7431531439121961
20,3RAJ,looser,95low,2,1.110395073890686,0.6236734693877551,0.996734693877551,0.5708274894810659,0.7259215219976218
21,3RAJ,looser,95low,6,1.0587389469146729,0.6272108843537415,0.9972789115646259,0.5731039874902267,0.7279046673286991
22,3RAJ,looser,95low,4,1.090616226196289,0.6249659863945578,0.9970068027210884,0.5716514548716749,0.7266597253210373
23,3RAJ,looser,95low,8,1.0689425468444824,0.6242857142857143,0.9971428571428571,0.5711947626841244,0.7263267429760666
24,3RAJ,looser,95low,10,1.0725033283233643,0.6225850340136054,0.9974149659863946,0.5700622083981337,0.7254824344383968
25,3RAJ,looser,95low,1,1.0917162895202637,0.6234693877551021,0.9972789115646259,0.570650058388478,0.7259222579846498
26,3RAJ,looser,95low,3,1.0703749656677246,0.6259183673469387,0.9971428571428571,0.5722651674865308,0.7271915463610656
27,3RAJ,looser,95low,7,1.0764014720916748,0.6216326530612245,0.9971428571428571,0.5694638694638695,0.7249258160237388
28,3RAJ,looser,95low,5,1.11042058467865,0.6190476190476191,0.9974149659863946,0.5677664188351921,0.7236205705261081
29,3RAJ,looser,95low,9,1.068154215812683,0.6263265306122449,0.9972789115646259,0.5725220651409826,0.7274351213218876
30,5E94,looser,95low,3,1.0552071332931519,0.6431972789115646,0.997687074829932,0.5837910994347584,0.7365777710813118
31,5E94,looser,95low,1,1.0156224966049194,0.6378231292517007,0.9979591836734694,0.5801170515659602,0.7337201160348105
32,5E94,looser,95low,5,1.0242840051651,0.6370748299319728,0.9978231292517007,0.5796253852841223,0.7332900064990251
33,5E94,looser,95low,9,1.025762915611267,0.6485714285714286,0.9975510204081632,0.5875,0.7394856278366112
34,5E94,looser,95low,7,1.0206903219223022,0.6373469387755102,0.9978231292517007,0.579808680528105,0.7334366718335917
35,5E94,looser,95low,2,0.9860571026802063,0.6473469387755102,0.9980952380952381,0.5865984327522789,0.7389202256244963
36,5E94,looser,95low,4,0.9996091723442078,0.6410204081632653,0.997687074829932,0.5823076312236957,0.735395878253021
37,5E94,looser,95low,8,1.0052664279937744,0.645578231292517,0.997687074829932,0.585422321571132,0.737874823908231
38,5E94,looser,95low,6,1.0795246362686157,0.6365986394557823,0.9978231292517007,0.579304897314376,0.7330334832583708
