,ag,test type,trained on,repl,loss,acc,recall,prec,f1
0,3VRL,looser,1 vs all,7,0.44835686683654785,0.793469387755102,0.9764625850340136,0.7148406374501992,0.8254169062679702
1,3VRL,looser,1 vs all,5,0.4393024146556854,0.7897278911564626,0.9737414965986395,0.7117851815017404,0.8224073542085608
2,3VRL,looser,1 vs all,9,0.4233682453632355,0.7995238095238095,0.9731972789115646,0.7223063718065232,0.8291891265287197
3,3VRL,looser,1 vs all,10,0.4291383624076843,0.8012244897959183,0.9745578231292517,0.7236815518286522,0.8305890538033395
4,3VRL,looser,1 vs all,1,0.44396069645881653,0.7938095238095239,0.9761904761904762,0.7152826238660154,0.8256141763995167
5,3VRL,looser,1 vs all,3,0.4275479316711426,0.7968027210884354,0.9733333333333334,0.7193564605329311,0.8272911246024863
6,3VRL,looser,1 vs all,6,0.4407699406147003,0.7951020408163265,0.9736054421768707,0.717465410066172,0.8261371507734935
7,3VRL,looser,1 vs all,4,0.4919945299625397,0.7758503401360545,0.9756462585034014,0.6970934188781958,0.81317684413449
8,3VRL,looser,1 vs all,8,0.4408230483531952,0.7898639455782313,0.9729251700680273,0.712180061746838,0.8223793916393538
9,3VRL,looser,1 vs all,2,0.43149876594543457,0.8012925170068027,0.9755102040816327,0.7234386035717889,0.8307745785296333
10,1NSN,looser,1 vs all,5,1.4808862209320068,0.651156462585034,0.9227210884353741,0.5979545053782401,0.7256580355232185
11,1NSN,looser,1 vs all,9,1.4914515018463135,0.6480272108843538,0.9243537414965987,0.5953382404486506,0.7242298262445369
12,1NSN,looser,1 vs all,7,1.4700888395309448,0.6506802721088435,0.9336054421768708,0.5962290381440611,0.7277162097672198
13,1NSN,looser,1 vs all,10,1.4889066219329834,0.6508163265306123,0.9310204081632653,0.596651844101491,0.7272437430256656
14,1NSN,looser,1 vs all,3,1.4655365943908691,0.6510884353741496,0.9236734693877551,0.5977811041648322,0.7258245576522158
15,1NSN,looser,1 vs all,1,1.4879621267318726,0.6503401360544218,0.9240816326530612,0.5971513979250923,0.7254860072634053
16,1NSN,looser,1 vs all,4,1.4856778383255005,0.6523809523809524,0.9285714285714286,0.598159509202454,0.7276119402985074
17,1NSN,looser,1 vs all,8,1.4787890911102295,0.6538775510204081,0.9268027210884354,0.5995423340961098,0.7280889268918341
18,1NSN,looser,1 vs all,6,1.4847368001937866,0.6493197278911564,0.9357823129251701,0.5949312343222904,0.7274073290677383
19,1NSN,looser,1 vs all,2,1.4748917818069458,0.6545578231292517,0.9263945578231293,0.6001233915036136,0.7283910997004707
20,3RAJ,looser,1 vs all,2,0.5135412216186523,0.7648299319727891,0.9244897959183673,0.7007321852119213,0.7972077198334018
21,3RAJ,looser,1 vs all,8,0.5052149891853333,0.764421768707483,0.9163265306122449,0.7028070541584055,0.7954881001594519
22,3RAJ,looser,1 vs all,4,0.506841778755188,0.7678231292517007,0.923265306122449,0.7043072132848988,0.7990579923461878
23,3RAJ,looser,1 vs all,6,0.5083126425743103,0.7651020408163265,0.9185034013605442,0.7028630921395107,0.7963432615747567
24,3RAJ,looser,1 vs all,3,0.5044769048690796,0.7641496598639456,0.9136054421768708,0.7033623127684089,0.794815647748121
25,3RAJ,looser,1 vs all,1,0.5033594965934753,0.7704081632653061,0.9043537414965986,0.7132739564330937,0.7975283460315555
26,3RAJ,looser,1 vs all,10,0.5059343576431274,0.7680272108843538,0.9180952380952381,0.7061532021766429,0.7982964627942741
27,3RAJ,looser,1 vs all,9,0.5074777603149414,0.7663945578231293,0.9151020408163265,0.7053271812080537,0.7966362667298353
28,3RAJ,looser,1 vs all,5,0.5040938854217529,0.769795918367347,0.9151020408163265,0.709044908285895,0.7990021382751248
29,3RAJ,looser,1 vs all,7,0.4958541989326477,0.7718367346938776,0.9165986394557823,0.7108039670816628,0.8006893273116235
30,5E94,looser,1 vs all,5,0.39459502696990967,0.8192517006802721,0.925578231292517,0.7632671378884776,0.8366230092848799
31,5E94,looser,1 vs all,9,0.3998998999595642,0.8181632653061225,0.9110204081632653,0.7683304647160069,0.8336134453781512
32,5E94,looser,1 vs all,7,0.41670435667037964,0.8068707482993197,0.8976870748299319,0.7597006332757628,0.822949797318366
33,5E94,looser,1 vs all,3,0.39657676219940186,0.8234013605442176,0.9127891156462585,0.7743536472760849,0.8378918446359436
34,5E94,looser,1 vs all,1,0.4025554955005646,0.817891156462585,0.9151020408163265,0.7661464859323386,0.834025668051336
35,5E94,looser,1 vs all,10,0.39919230341911316,0.8165986394557823,0.9291156462585034,0.7584406930253221,0.8351473645591293
36,5E94,looser,1 vs all,4,0.38767552375793457,0.83,0.9220408163265306,0.7786970010341262,0.8443281629601944
37,5E94,looser,1 vs all,8,0.3939562439918518,0.8230612244897959,0.9225850340136055,0.7694315216157949,0.8390769040400916
38,5E94,looser,1 vs all,6,0.4007546305656433,0.8160544217687075,0.9189115646258503,0.7621304445948995,0.8332099679249939
39,5E94,looser,1 vs all,2,0.40206313133239746,0.82,0.9129251700680272,0.7698485543827444,0.8353043694759119
40,1H0D,looser,1 vs all,6,1.528252124786377,0.5589795918367347,0.9481632653061225,0.5331650218039936,0.6825326869399149
41,1H0D,looser,1 vs all,4,1.502676010131836,0.559047619047619,0.9531972789115646,0.5330188679245284,0.6837123060407926
42,1H0D,looser,1 vs all,8,1.3639235496520996,0.5587074829931973,0.9454421768707483,0.5331031837360951,0.6817758155506499
43,1H0D,looser,1 vs all,10,1.528359293937683,0.5591836734693878,0.9461224489795919,0.5333640128854119,0.6821659799882285
