,train_task,jsd,acc,train_ag,train_neg,seed,split
0,vs 9,2.864139174614534,0.943271635817909,5E94,auto,2,42
1,vs 9,3.0197702736775276,0.9348674337168584,1WEJ,auto,2,42
2,vs 9,1.9311060073950113,0.9115557778889444,1ADQ,auto,2,42
3,vs 9,2.997983703221413,0.9499749874937468,1OB1,auto,2,42
4,vs 9,2.9822910168892305,0.9583791895947974,1NSN,auto,2,42
5,vs 9,2.913083452610124,0.945472736368184,2YPV,auto,2,42
6,vs 9,1.5732755278822939,0.912056028014007,3RAJ,auto,2,42
7,vs 9,3.701267522996512,0.974287143571786,3VRL,auto,2,42
8,vs 9,3.627213662010418,0.9712856428214108,1FBI,auto,2,42
9,vs 9,3.11147642765417,0.9453726863431716,1H0D,auto,2,42
10,vs 9,2.864139174614534,0.944672336168084,5E94,auto,3,42
11,vs 9,3.0197702736775276,0.9354677338669336,1WEJ,auto,3,42
12,vs 9,1.9311060073950113,0.9157578789394696,1ADQ,auto,3,42
13,vs 9,2.997983703221413,0.9536768384192096,1OB1,auto,3,42
14,vs 9,2.9822910168892305,0.9581790895447724,1NSN,auto,3,42
15,vs 9,2.913083452610124,0.943671835917959,2YPV,auto,3,42
16,vs 9,1.5732755278822939,0.9061530765382692,3RAJ,auto,3,42
17,vs 9,3.701267522996512,0.9725862931465732,3VRL,auto,3,42
18,vs 9,3.627213662010418,0.9728864432216108,1FBI,auto,3,42
19,vs 9,3.11147642765417,0.9466733366683342,1H0D,auto,3,42
20,vs 9,2.864139174614534,0.941470735367684,5E94,auto,1,42
21,vs 9,3.0197702736775276,0.9348674337168584,1WEJ,auto,1,42
22,vs 9,1.9311060073950113,0.9158579289644824,1ADQ,auto,1,42
23,vs 9,2.997983703221413,0.9528764382191096,1OB1,auto,1,42
24,vs 9,2.9822910168892305,0.9552776388194096,1NSN,auto,1,42
25,vs 9,2.913083452610124,0.944872436218109,2YPV,auto,1,42
26,vs 9,1.5732755278822939,0.9086543271635816,3RAJ,auto,1,42
27,vs 9,3.701267522996512,0.9726863431715858,3VRL,auto,1,42
28,vs 9,3.627213662010418,0.9710855427713856,1FBI,auto,1,42
29,vs 9,3.11147642765417,0.9445722861430716,1H0D,auto,1,42
30,vs 9,2.8976190517437295,0.942671335667834,5E94,auto,0,4
31,vs 9,2.9854224880523392,0.9360680340170086,1WEJ,auto,0,4
32,vs 9,2.0091259284297927,0.9111555777888944,1ADQ,auto,0,4
33,vs 9,3.0184107276079843,0.9444722361180592,1OB1,auto,0,4
34,vs 9,2.965459708355352,0.9565782891445724,1NSN,auto,0,4
35,vs 9,2.8938153807670073,0.9420710355177588,2YPV,auto,0,4
36,vs 9,1.5325363751111842,0.9061530765382692,3RAJ,auto,0,4
37,vs 9,3.7460440742029606,0.9736868434217107,3VRL,auto,0,4
38,vs 9,3.6188536217569243,0.968184092046023,1FBI,auto,0,4
39,vs 9,3.0569225613551163,0.942671335667834,1H0D,auto,0,4
40,vs 9,2.8589405789966973,0.945272636318159,5E94,auto,0,3
41,vs 9,3.0203389334214235,0.9376688344172086,1WEJ,auto,0,3
42,vs 9,2.0301966474683177,0.919559779889945,1ADQ,auto,0,3
43,vs 9,3.0014364078555302,0.950575287643822,1OB1,auto,0,3
44,vs 9,3.0316888725209963,0.9586793396698348,1NSN,auto,0,3
45,vs 9,2.9052570165639726,0.9398699349674836,2YPV,auto,0,3
46,vs 9,1.6036716906760815,0.9062531265632816,3RAJ,auto,0,3
47,vs 9,3.7072019537086955,0.9680840420210104,3VRL,auto,0,3
48,vs 9,3.6079898541447726,0.969584792396198,1FBI,auto,0,3
49,vs 9,3.0879297210705268,0.9437718859429716,1H0D,auto,0,3
50,vs 9,2.864139174614534,0.9443721860930464,5E94,auto,0,42
51,vs 9,2.864139174614534,0.9443721860930464,5E94,auto,0,42
52,vs 9,3.0197702736775276,0.9374687343671836,1WEJ,auto,0,42
53,vs 9,3.0197702736775276,0.9374687343671836,1WEJ,auto,0,42
54,vs 9,1.9311060073950113,0.9169584792396198,1ADQ,auto,0,42
55,vs 9,1.9311060073950113,0.9169584792396198,1ADQ,auto,0,42
56,vs 9,2.997983703221413,0.9472736368184091,1OB1,auto,0,42
57,vs 9,2.997983703221413,0.9472736368184091,1OB1,auto,0,42
58,vs 9,2.9822910168892305,0.9599799899949976,1NSN,auto,0,42
59,vs 9,2.9822910168892305,0.9599799899949976,1NSN,auto,0,42
60,vs 9,2.913083452610124,0.9473736868434216,2YPV,auto,0,42
61,vs 9,2.913083452610124,0.9473736868434216,2YPV,auto,0,42
62,vs 9,1.5732755278822939,0.9050525262631316,3RAJ,auto,0,42
63,vs 9,1.5732755278822939,0.9050525262631316,3RAJ,auto,0,42
64,vs 9,3.701267522996512,0.9729864932466232,3VRL,auto,0,42
65,vs 9,3.701267522996512,0.9729864932466232,3VRL,auto,0,42
66,vs 9,3.627213662010418,0.966983491745873,1FBI,auto,0,42
67,vs 9,3.627213662010418,0.966983491745873,1FBI,auto,0,42
68,vs 9,3.11147642765417,0.9429714857428716,1H0D,auto,0,42
69,vs 9,3.11147642765417,0.9429714857428716,1H0D,auto,0,42
70,vs 9,2.834577763916436,0.945472736368184,5E94,auto,0,2
71,vs 9,2.9797558541370335,0.9421710855427714,1WEJ,auto,0,2
72,vs 9,2.002969969667941,0.912456228114057,1ADQ,auto,0,2
73,vs 9,2.950307117282457,0.9460730365182592,1OB1,auto,0,2
74,vs 9,3.0303090822056085,0.9655827913956978,1NSN,auto,0,2
75,vs 9,2.918076280164168,0.9389694847423712,2YPV,auto,0,2
76,vs 9,1.533424088847802,0.9111555777888944,3RAJ,auto,0,2
77,vs 9,3.7257399496452965,0.9741870935467734,3VRL,auto,0,2
78,vs 9,3.615565494601678,0.9692846423211606,1FBI,auto,0,2
79,vs 9,3.0743654496419177,0.9350675337668836,1H0D,auto,0,2
80,vs 9,2.901006126149642,0.9399699849924964,5E94,auto,0,0
81,vs 9,3.019577585339469,0.9405702851425712,1WEJ,auto,0,0
82,vs 9,2.0288522593161087,0.9219609804902452,1ADQ,auto,0,0
83,vs 9,2.997504698407943,0.9479739869934968,1OB1,auto,0,0
84,vs 9,2.9768603070020254,0.9623811905952976,1NSN,auto,0,0
85,vs 9,2.88401666368869,0.9441720860430216,2YPV,auto,0,0
86,vs 9,1.6529490694350608,0.905952976488244,3RAJ,auto,0,0
87,vs 9,3.760342352506994,0.9757878939469736,3VRL,auto,0,0
88,vs 9,3.567663696848159,0.9708854427213608,1FBI,auto,0,0
89,vs 9,3.0283753711584573,0.9421710855427714,1H0D,auto,0,0
90,vs 9,2.90959149360648,0.9429714857428716,5E94,auto,0,1
91,vs 9,3.028947628162085,0.9390695347673836,1WEJ,auto,0,1
92,vs 9,2.01449431353248,0.9068534267133568,1ADQ,auto,0,1
93,vs 9,3.0577164720716286,0.952376188094047,1OB1,auto,0,1
94,vs 9,3.0063195941748395,0.9560780390195096,1NSN,auto,0,1
95,vs 9,2.85100978313212,0.9401700850425212,2YPV,auto,0,1
96,vs 9,1.5320182501237518,0.912056028014007,3RAJ,auto,0,1
97,vs 9,3.703965870148672,0.9734867433716858,3VRL,auto,0,1
98,vs 9,3.5962090629116212,0.9711855927963982,1FBI,auto,0,1
99,vs 9,3.0791161334563335,0.9375687843921962,1H0D,auto,0,1
100,vs Non-binder,3.138993145494587,0.9813,1H0D,auto,2,42
101,vs Non-binder,3.345475764490456,0.9917,3RAJ,auto,2,42
102,vs Non-binder,3.062293937374732,0.9779,1NSN,auto,2,42
103,vs Non-binder,3.116646635104809,0.98,1ADQ,auto,2,42
104,vs Non-binder,3.4599586625422196,0.9966,1FBI,auto,2,42
105,vs Non-binder,3.221687851863516,0.9883,2YPV,auto,2,42
106,vs Non-binder,3.2274774681552736,0.9887,1OB1,auto,2,42
107,vs Non-binder,3.093696632544596,0.9865,1WEJ,auto,2,42
108,vs Non-binder,3.532250056649364,0.9956,5E94,auto,2,42
109,vs Non-binder,4.0245506051024265,0.9964,3VRL,auto,2,42
110,vs Non-binder,3.138993145494587,0.9796,1H0D,auto,3,42
111,vs Non-binder,3.345475764490456,0.9929,3RAJ,auto,3,42
112,vs Non-binder,3.062293937374732,0.9765,1NSN,auto,3,42
113,vs Non-binder,3.116646635104809,0.9804,1ADQ,auto,3,42
114,vs Non-binder,3.4599586625422196,0.995,1FBI,auto,3,42
115,vs Non-binder,3.221687851863516,0.9878,2YPV,auto,3,42
116,vs Non-binder,3.2274774681552736,0.9856,1OB1,auto,3,42
117,vs Non-binder,3.093696632544596,0.9867,1WEJ,auto,3,42
118,vs Non-binder,3.532250056649364,0.9957,5E94,auto,3,42
119,vs Non-binder,4.0245506051024265,0.9952,3VRL,auto,3,42
120,vs Non-binder,3.138993145494587,0.9804,1H0D,auto,1,42
121,vs Non-binder,3.345475764490456,0.9922,3RAJ,auto,1,42
122,vs Non-binder,3.062293937374732,0.9792,1NSN,auto,1,42
123,vs Non-binder,3.116646635104809,0.9809,1ADQ,auto,1,42
124,vs Non-binder,3.4599586625422196,0.9965,1FBI,auto,1,42
125,vs Non-binder,3.221687851863516,0.9876,2YPV,auto,1,42
126,vs Non-binder,3.2274774681552736,0.9872,1OB1,auto,1,42
127,vs Non-binder,3.093696632544596,0.9868,1WEJ,auto,1,42
128,vs Non-binder,3.532250056649364,0.996,5E94,auto,1,42
129,vs Non-binder,4.0245506051024265,0.9962,3VRL,auto,1,42
130,vs Non-binder,3.117093252713368,0.9813,1H0D,auto,0,4
131,vs Non-binder,3.396353609231144,0.9922,3RAJ,auto,0,4
132,vs Non-binder,3.030105894450813,0.9769,1NSN,auto,0,4
133,vs Non-binder,3.111626768902985,0.9717,1ADQ,auto,0,4
134,vs Non-binder,3.4726565889714873,0.9977,1FBI,auto,0,4
135,vs Non-binder,3.2695752432871794,0.988,2YPV,auto,0,4
136,vs Non-binder,3.192394715809815,0.988,1OB1,auto,0,4
137,vs Non-binder,3.102632088352164,0.9875,1WEJ,auto,0,4
138,vs Non-binder,3.5493233978911753,0.9962,5E94,auto,0,4
139,vs Non-binder,4.055380872619997,0.9973,3VRL,auto,0,4
140,vs Non-binder,3.147136768163285,0.9824,1H0D,auto,0,3
141,vs Non-binder,3.402959506190867,0.9934,3RAJ,auto,0,3
142,vs Non-binder,3.1193661129055426,0.9795,1NSN,auto,0,3
143,vs Non-binder,3.1548899886868433,0.9747,1ADQ,auto,0,3
144,vs Non-binder,3.4752188685733785,0.9953,1FBI,auto,0,3
145,vs Non-binder,3.22526092463887,0.9835,2YPV,auto,0,3
146,vs Non-binder,3.204792044042705,0.9889,1OB1,auto,0,3
147,vs Non-binder,3.104696173062866,0.9886,1WEJ,auto,0,3
148,vs Non-binder,3.519549692122319,0.995,5E94,auto,0,3
149,vs Non-binder,4.037487021385204,0.9965,3VRL,auto,0,3
