r2_cutoff,Task,Error Rate
0.0,vs Weak,0.1498
0.0,vs Non-binder,0.017
0.1,vs Weak,0.1517064048620851
0.1,vs Non-binder,0.016129032258064516
0.2,vs Weak,0.15365239294710328
0.2,vs Non-binder,0.01651273439686538
0.30000000000000004,vs Weak,0.14937759336099585
0.30000000000000004,vs Non-binder,0.017555059048834983
0.4,vs Weak,0.15016936394429808
0.4,vs Non-binder,0.015054572826496047
0.5,vs Weak,0.1344632768361582
0.5,vs Non-binder,0.012429378531073447
0.6000000000000001,vs Weak,0.10250391236306729
0.6000000000000001,vs Non-binder,0.010954616588419406
