r2_cutoff,Task,Error Rate
0.0,vs Weak,0.0926
0.0,vs Non-binder,0.0162
0.1,vs Weak,0.0870488322717622
0.1,vs Non-binder,0.015074309978768578
0.2,vs Weak,0.08326947637292464
0.2,vs Non-binder,0.01583652618135377
0.30000000000000004,vs Weak,0.08335603377826205
0.30000000000000004,vs Non-binder,0.016344320348678835
0.4,vs Weak,0.08467983243566726
0.4,vs Non-binder,0.015858767205266307
0.5,vs Weak,0.08855765015344147
0.5,vs Non-binder,0.016659359929855327
0.6000000000000001,vs Weak,0.07744107744107744
0.6000000000000001,vs Non-binder,0.014590347923681257
