r2_cutoff,Task,Error Rate
0.0,vs Weak,0.0892
0.0,vs Non-binder,0.0076
0.1,vs Weak,0.08661740558292283
0.1,vs Non-binder,0.006568144499178982
0.2,vs Weak,0.08038147138964577
0.2,vs Non-binder,0.0065849227974568575
0.30000000000000004,vs Weak,0.0772236267524707
0.30000000000000004,vs Non-binder,0.00666513445185015
0.4,vs Weak,0.07360861759425494
0.4,vs Non-binder,0.006582884500299222
0.5,vs Weak,0.05688622754491018
0.5,vs Non-binder,0.005988023952095809
0.6000000000000001,vs Weak,0.04011461318051576
0.6000000000000001,vs Non-binder,0.008595988538681949
0.7000000000000001,vs Weak,0.04011461318051576
0.7000000000000001,vs Non-binder,0.008595988538681949
