r2_cutoff,Task,Error Rate
0.0,vs Weak,0.0722
0.0,vs Non-binder,0.0156
0.1,vs Weak,0.07004683363877011
0.1,vs Non-binder,0.01425371614742415
0.2,vs Weak,0.06618429453075123
0.2,vs Non-binder,0.013619919131730156
0.30000000000000004,vs Weak,0.06537473733364464
0.30000000000000004,vs Non-binder,0.014709315900070045
0.4,vs Weak,0.0651862464183381
0.4,vs Non-binder,0.014804202483285577
0.5,vs Weak,0.06545064377682404
0.5,vs Non-binder,0.01636266094420601
0.6000000000000001,vs Weak,0.037949921752738654
0.6000000000000001,vs Non-binder,0.010954616588419406
0.7000000000000001,vs Weak,0.06896551724137931
0.7000000000000001,vs Non-binder,0.020689655172413793
0.8,vs Weak,0.06896551724137931
0.8,vs Non-binder,0.020689655172413793
