r2_cutoff,Task,Error Rate
0.0,vs Weak,0.0658
0.0,vs Non-binder,0.0136
0.1,vs Weak,0.06470344255495646
0.1,vs Non-binder,0.012650352550808793
0.2,vs Weak,0.06360505166475315
0.2,vs Non-binder,0.011710677382319174
0.30000000000000004,vs Weak,0.06445949335339854
0.30000000000000004,vs Non-binder,0.01254075746175069
0.4,vs Weak,0.06821533923303835
0.4,vs Non-binder,0.015486725663716814
0.5,vs Weak,0.05328983143012507
0.5,vs Non-binder,0.018488308863512777
0.6000000000000001,vs Weak,0.06163886874546773
0.6000000000000001,vs Non-binder,0.021754894851341553
0.7000000000000001,vs Weak,0.06163886874546773
0.7000000000000001,vs Non-binder,0.021754894851341553
