r2_cutoff,Task,Error Rate
0.0,vs Weak,0.1234
0.0,vs Non-binder,0.004
0.1,vs Weak,0.11772457720184494
0.1,vs Non-binder,0.0032945310784098397
0.2,vs Weak,0.10867293625914315
0.2,vs Non-binder,0.003134796238244514
0.30000000000000004,vs Weak,0.10210556677242573
0.30000000000000004,vs Non-binder,0.0031727718488606866
0.4,vs Weak,0.08873897249610795
0.4,vs Non-binder,0.00467047223663726
0.5,vs Weak,0.08333333333333333
0.5,vs Non-binder,0.003863134657836645
0.6000000000000001,vs Weak,0.08070714834742505
0.6000000000000001,vs Non-binder,0.005380476556495004
