r2_cutoff,Task,Error Rate
0.0,vs Weak,0.0434
0.0,vs Non-binder,0.002
0.1,vs Weak,0.03880106754259906
0.1,vs Non-binder,0.001642373229316362
0.2,vs Weak,0.030978381992422553
0.2,vs Non-binder,0.0011143302874972142
0.30000000000000004,vs Weak,0.030566711289602855
0.30000000000000004,vs Non-binder,0.0011155734047300313
0.4,vs Weak,0.029009829777031888
0.4,vs Non-binder,0.0011987532965715656
0.5,vs Weak,0.022419928825622777
0.5,vs Non-binder,0.0007117437722419929
0.6000000000000001,vs Weak,0.020179372197309416
0.6000000000000001,vs Non-binder,0.0
