r2_cutoff,Task,Error Rate
0.0,vs Weak,0.1038
0.0,vs Non-binder,0.005
0.1,vs Weak,0.09925055701843224
0.1,vs Non-binder,0.0048612517723313755
0.2,vs Weak,0.09455958549222798
0.2,vs Non-binder,0.0038860103626943004
0.30000000000000004,vs Weak,0.08935185185185185
0.30000000000000004,vs Non-binder,0.004166666666666667
0.4,vs Weak,0.08850056369785794
0.4,vs Non-binder,0.004791431792559188
0.5,vs Weak,0.09738562091503268
0.5,vs Non-binder,0.00392156862745098
0.6000000000000001,vs Weak,0.09557661927330174
0.6000000000000001,vs Non-binder,0.002369668246445498
