	ag	test type	repl	loss	acc	recall	prec	f1
0	3VRL	open	5	0.046804044395685196	0.9818367346938776	0.9714285714285714	0.992080033347228	0.9816457001443597
1	3VRL	closed	5	0.08353156596422195	0.969103035252484	0.9714285714285714	0.9669555796316359	0.969186914619248
2	3VRL	open	1	0.04511567950248718	0.9839455782312925	0.976326530612245	0.9914340978170766	0.9838223197148341
3	3VRL	closed	1	0.0973857194185257	0.9692391452293453	0.976326530612245	0.9627045881405957	0.9694677114293435
4	3VRL	open	4	0.04942402243614197	0.9812244897959184	0.9692517006802721	0.9930303875104545	0.9809969705315341
5	3VRL	closed	4	0.08496041595935822	0.9693072002177759	0.9692517006802721	0.9693835896040277	0.9693176406558269
6	3VRL	open	9	0.04537130892276764	0.9849659863945578	0.9808163265306122	0.9890245575524763	0.9849033403921033
7	3VRL	closed	9	0.09419059008359909	0.9681502654144549	0.9808163265306122	0.9566082802547771	0.9685610640870617
8	3VRL	open	10	0.05185344070196152	0.9812244897959184	0.9685714285714285	0.9937185929648241	0.9809838776353864
9	3VRL	closed	10	0.08517030626535416	0.9701238600789438	0.9685714285714285	0.9716118465947864	0.9700892552974041
10	3VRL	open	8	0.04938862472772598	0.9802721088435374	0.9677551020408163	0.9926039631593636	0.9800220446403968
11	3VRL	closed	8	0.08585525304079056	0.9682863753913162	0.9677551020408163	0.9688095886679379	0.9682820582630002
12	3VRL	open	3	0.04751592129468918	0.9830612244897959	0.9761904761904762	0.9897916954062629	0.9829440372628262
13	3VRL	closed	3	0.09575674682855606	0.9674697155301484	0.9761904761904762	0.9594811446910939	0.9677636903156192
14	3VRL	open	7	0.051549769937992096	0.9807482993197278	0.9678911564625851	0.9934366708560257	0.9804975535800428
15	3VRL	closed	7	0.08581341803073883	0.9699196951136518	0.9678911564625851	0.9718579234972677	0.9698704839809135
16	3VRL	open	6	0.04804074019193649	0.9828571428571429	0.97578231292517	0.9897874689483853	0.9827349958892848
17	3VRL	closed	6	0.09379786998033524	0.9687627603103307	0.97578231292517	0.9622970615859385	0.9689927717354591
18	3VRL	open	2	0.04679698497056961	0.9828571428571429	0.9740136054421769	0.9915512465373961	0.9827041866849692
19	3VRL	closed	2	0.08837785571813583	0.9691710902409146	0.9740136054421769	0.9646947850693977	0.969331798794936
20	1NSN	open	4	12.230600357055664	0.6165306122448979	0.9484353741496598	0.5700384332324802	0.7120894836304204
21	1NSN	closed	4	0.1316201239824295	0.9496393085613175	0.9484353741496598	0.9507637752318603	0.9495981473913635
22	1NSN	open	1	10.591046333312988	0.6252380952380953	0.9500680272108843	0.5759175257731959	0.7171245186136072
23	1NSN	closed	1	0.13751636445522308	0.9470532190009527	0.9500680272108843	0.9444143900459833	0.9472327726532827
24	1NSN	open	5	8.072500228881836	0.6192517006802721	0.9386394557823129	0.5727687837276878	0.711420469193091
25	1NSN	closed	5	0.14635922014713287	0.9439907445215734	0.9386394557823129	0.9488378489891349	0.9437111004719241
26	1NSN	open	2	6.971580982208252	0.6235374149659864	0.9435374149659864	0.5753276920524307	0.7148010719439291
27	1NSN	closed	2	0.14952272176742554	0.9415407649380699	0.9435374149659864	0.9398292451551701	0.9416796795437572
28	1NSN	open	6	12.863663673400879	0.6190476190476191	0.9454421768707483	0.5720283174185051	0.7127910554928711
29	1NSN	closed	6	0.13242927193641663	0.947393493943106	0.9454421768707483	0.9491872694987024	0.9473110217435757
30	1NSN	open	7	11.316000938415527	0.6166666666666667	0.9394557823129251	0.5708970649028524	0.7102082797634353
31	1NSN	closed	7	0.15045000612735748	0.9438546345447121	0.9394557823129251	0.9478380233356212	0.9436282883498464
32	1NSN	open	3	6.023018836975098	0.6287755102040816	0.9391836734693878	0.5794510198942332	0.7167107927114157
33	1NSN	closed	3	0.1477232128381729	0.9416088199265006	0.9391836734693878	0.9438063986874488	0.9414893617021277
34	1NSN	open	8	10.129493713378906	0.6119727891156462	0.9372789115646258	0.5678371249587867	0.707216918180885
35	1NSN	closed	8	0.14356538653373718	0.9430379746835443	0.9372789115646258	0.9482450103234686	0.9427300718439959
36	1NSN	open	10	10.014464378356934	0.6261904761904762	0.9476190476190476	0.5768115942028985	0.7171171171171171
37	1NSN	closed	10	0.12397870421409607	0.9516809582142371	0.9476190476190476	0.9554183813443072	0.951502732240437
38	1NSN	open	9	10.507561683654785	0.616938775510204	0.9421768707482994	0.5708515373835628	0.710949129921462
39	1NSN	closed	9	0.12747779488563538	0.9501837484687627	0.9421768707482994	0.957549778761062	0.949801124674256
40	3RAJ	open	3	0.13947412371635437	0.9480272108843537	0.9193197278911565	0.9753175519630485	0.9464911051968061
41	3RAJ	closed	3	0.2516675889492035	0.9060160609772696	0.9193197278911565	0.895559973492379	0.907284323598523
42	3RAJ	open	7	0.1256038248538971	0.9525170068027211	0.9240816326530612	0.979803808424697	0.951127293096205
43	3RAJ	closed	7	0.2341659665107727	0.908670205526065	0.9240816326530612	0.8965153115100317	0.9100897762293984
44	3RAJ	open	6	0.16559730470180511	0.9359863945578232	0.8985034013605442	0.97131931166348	0.9334935331118808
45	3RAJ	closed	6	0.27424320578575134	0.8914522934531102	0.8985034013605442	0.8860861398094727	0.8922515706275755
