,y_pred_linear_accuracy,y_pred_linear_precision,y_pred_linear_recall,y_pred_linear_f1,y_pred_linear_specificity,y_pred_linear_sensitivity,y_pred_linear_tpr,y_pred_linear_fpr,y_pred_linear_tnr,y_pred_linear_fnr,y_pred_nonlinear_accuracy,y_pred_nonlinear_precision,y_pred_nonlinear_recall,y_pred_nonlinear_f1,y_pred_nonlinear_specificity,y_pred_nonlinear_sensitivity,y_pred_nonlinear_tpr,y_pred_nonlinear_fpr,y_pred_nonlinear_tnr,y_pred_nonlinear_fnr,linear_fp_from_nonlinear_better,linear_fn_from_nonlinear_better,logit_absdiff_same_correct_prediction,logit_abs_linear_mean,expit_absdiff_same_correct_prediction,ag
HIGH_VS_LOOSER__3VRL__auto__0__42,0.8876,0.8782201405152225,0.9,0.8889766890557091,0.8752,0.9,0.9,0.1248,0.8752,0.1,0.9534,0.9471400394477317,0.9604,0.9537239324726912,0.9464,0.9604,0.9604,0.0536,0.9464,0.0396,0.5238678090575275,0.47613219094247244,6.076141065221848,2.0791262641966344,0.0086439421907478,3VRL_high
HIGH_VS_LOOSER__3VRL__auto__1__42,0.8881,0.8776026464292664,0.902,0.8896340862017951,0.8742,0.902,0.902,0.1258,0.8742,0.098,0.9526,0.9481188118811881,0.9576,0.9528358208955224,0.9476,0.9576,0.9576,0.0524,0.9476,0.0424,0.5460199004975125,0.4539800995024876,6.022948216388933,2.079905584013462,0.0077133334674260754,3VRL_high
HIGH_VS_LOOSER__3VRL__auto__2__42,0.8876,0.8783678250683327,0.8998,0.8889547520252915,0.8754,0.8998,0.8998,0.1246,0.8754,0.1002,0.954,0.9457973291437549,0.9632,0.9544193420531114,0.9448,0.9632,0.9632,0.0552,0.9448,0.0368,0.5181598062953995,0.48184019370460046,5.883266472866229,2.0805735628545285,0.010031774734445319,3VRL_high
HIGH_VS_LOOSER__3VRL__auto__3__42,0.8877,0.8773603270391279,0.9014,0.8892177172733551,0.874,0.9014,0.9014,0.126,0.874,0.0986,0.949,0.9431504145282273,0.9556,0.9493343930061593,0.9424,0.9556,0.9556,0.0576,0.9424,0.0444,0.5406758448060075,0.4593241551939925,6.14628183793355,2.0812718180835246,0.007643275732031284,3VRL_high
HIGH_VS_LOOSER__3VRL__auto__0__0,0.8824,0.8682588597842835,0.9016,0.8846153846153846,0.8632,0.9016,0.9016,0.1368,0.8632,0.0984,0.9566,0.9499408750492708,0.964,0.9569188008735359,0.9492,0.964,0.964,0.0508,0.9492,0.036,0.5696767001114827,0.43032329988851725,6.388746465633782,2.1071577101647856,0.009836695117233582,3VRL_high
HIGH_VS_LOOSER__3VRL__auto__0__1,0.8838,0.8727661227661228,0.8986,0.8854946787544344,0.869,0.8986,0.8986,0.131,0.869,0.1014,0.9494,0.9395539906103286,0.9606,0.9499604430379748,0.9382,0.9606,0.9606,0.0618,0.9382,0.0394,0.5270108043217286,0.4729891956782713,6.2604382148348225,2.104615892136097,0.009066549808291849,3VRL_high
HIGH_VS_LOOSER__3VRL__auto__0__2,0.8826,0.8730499219968799,0.8954,0.884083728278041,0.8698,0.8954,0.8954,0.1302,0.8698,0.1046,0.9526,0.9428571428571428,0.9636,0.9531157270029673,0.9416,0.9636,0.9636,0.0584,0.9416,0.0364,0.5172018348623854,0.4827981651376147,5.9364448615952705,2.081862038165331,0.009712675122286251,3VRL_high
HIGH_VS_LOOSER__3VRL__auto__0__3,0.8797,0.8681403917006011,0.8954,0.8815595156050015,0.864,0.8954,0.8954,0.136,0.864,0.1046,0.9501,0.939980449657869,0.9616,0.950667325753831,0.9386,0.9616,0.9616,0.0614,0.9386,0.0384,0.5343855693348365,0.46561443066516345,6.15903907839234,2.0782651734054087,0.011693880978454963,3VRL_high
HIGH_VS_LOOSER__3VRL__auto__0__4,0.8816,0.8637056805184903,0.9062,0.8844427093499903,0.857,0.9062,0.9062,0.143,0.857,0.0938,0.9522,0.9407407407407408,0.9652,0.9528134254689042,0.9392,0.9652,0.9652,0.0608,0.9392,0.0348,0.5652173913043478,0.43478260869565216,6.453551135946903,2.1146863214313982,0.010286229600539577,3VRL_high
HIGH_VS_LOOSER__1NSN__auto__0__42,0.7596,0.7398373983739838,0.8008,0.7691125624279677,0.7184,0.8008,0.8008,0.2816,0.7184,0.1992,0.9072,0.9031683168316832,0.9122,0.9076616915422885,0.9022,0.9122,0.9122,0.0978,0.9022,0.0878,0.6192071468453378,0.3807928531546622,3.766531880396995,1.1814461417227984,0.035409765334333,1NSN_high
