ag,train_task,test_task,neg_ratio,acc,recall,precision,f1
3VRL,ONE_VS_NINE,ONE_VS_NINE,1:1,0.9729864932466233,0.975,0.9711155378486056,0.9730538922155689
3VRL,ONE_VS_NINE,ONE_VS_NINE,1:2,0.9755918639546516,0.975,0.9528928850664582,0.9638196915776986
3VRL,ONE_VS_NINE,ONE_VS_NINE,1:5,0.9779963327221204,0.975,0.9011090573012939,0.9365994236311239
3VRL,ONE_VS_NINE,ONE_VS_NINE,1:10,0.9782525684153105,0.975,0.8198789101917255,0.8907363420427554
3VRL,ONE_VS_NINE,HIGH_VS_95LOW,1:1,0.987,0.975,0.9989754098360656,0.9868421052631579
3VRL,ONE_VS_NINE,HIGH_VS_95LOW,1:2,0.9912,0.975,0.9985661614092585,0.9866423800850032
3VRL,ONE_VS_NINE,HIGH_VS_95LOW,1:5,0.9949666666666667,0.975,0.9946949602122016,0.9847490152509848
3VRL,ONE_VS_NINE,HIGH_VS_95LOW,1:10,0.9969090909090909,0.975,0.9908536585365854,0.9828629032258065
3VRL,ONE_VS_NINE,HIGH_VS_95LOW,1:15,0.9974375,0.975,0.9838546922300706,0.9794073329984931
3VRL,ONE_VS_NINE,HIGH_VS_LOOSER,1:1,0.8829,0.975,0.823340651916906,0.8927753868693344
3VRL,ONE_VS_NINE,HIGH_VS_LOOSER,1:2,0.8487333333333333,0.975,0.6945433822481835,0.8112155753390465
3VRL,ONE_VS_NINE,HIGH_VS_LOOSER,1:5,0.8154333333333333,0.975,0.47389909594634005,0.6377968208281546
3VRL,ONE_VS_NINE,HIGH_VS_LOOSER,1:10,0.7999272727272727,0.975,0.3094452202615209,0.4697889563457647
3VRL,ONE_VS_NINE,HIGH_VS_LOOSER,1:15,0.79425,0.975,0.22984441301272984,0.37199542159481114
3VRL,HIGH_VS_95LOW,ONE_VS_NINE,1:1,0.9123561780890446,0.998,0.8521174863387978,0.9193072955047901
3VRL,HIGH_VS_95LOW,ONE_VS_NINE,1:2,0.8993664554851617,0.998,0.7689936816150409,0.8686569762381409
3VRL,HIGH_VS_95LOW,ONE_VS_NINE,1:5,0.883280546757793,0.998,0.5883740124985262,0.7403011646020325
3VRL,HIGH_VS_95LOW,ONE_VS_NINE,1:10,0.8747704336757887,0.998,0.4204938063537541,0.5916879113061007
3VRL,HIGH_VS_95LOW,HIGH_VS_95LOW,1:1,0.9966,0.998,0.9952134024730754,0.9966047533453166
3VRL,HIGH_VS_95LOW,HIGH_VS_95LOW,1:2,0.9963333333333333,0.998,0.9910625620655412,0.99451918285999
3VRL,HIGH_VS_95LOW,HIGH_VS_95LOW,1:5,0.9956333333333334,0.998,0.9763255722950499,0.9870438136682821
3VRL,HIGH_VS_95LOW,HIGH_VS_95LOW,1:10,0.9961636363636364,0.998,0.961279136967829,0.9792954567755863
3VRL,HIGH_VS_95LOW,HIGH_VS_95LOW,1:15,0.9959625,0.998,0.9409768055817462,0.9686499077938465
3VRL,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:1,0.7585,0.998,0.6747802569303584,0.8051633723275515
3VRL,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:2,0.6763333333333333,0.998,0.507371631926792,0.6727334007414898
3VRL,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:5,0.5929666666666666,0.998,0.2902681635739631,0.4497318732819611
3VRL,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:10,0.5549636363636363,0.998,0.16939946362494485,0.28963635835969476
3VRL,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:15,0.5400875,0.998,0.11945515045603619,0.21337096187971694
3VRL,HIGH_VS_LOOSER,ONE_VS_NINE,1:1,0.9682841420710355,0.9604,0.9758179231863442,0.9680475758492086
3VRL,HIGH_VS_LOOSER,ONE_VS_NINE,1:2,0.974324774924975,0.9604,0.9625175385848868,0.9614576033637
3VRL,HIGH_VS_LOOSER,ONE_VS_NINE,1:5,0.9808634772462077,0.9604,0.9273850907686365,0.9436038514442915
3VRL,HIGH_VS_LOOSER,ONE_VS_NINE,1:10,0.983362123829439,0.9604,0.8700851603551368,0.9130145451088507
3VRL,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:1,0.9798,0.9604,0.9991677070328756,0.9794003671221702
3VRL,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:2,0.9864,0.9604,0.9987520798668885,0.979200652528548
3VRL,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:5,0.9927333333333334,0.9604,0.9958523434259643,0.9778049277132967
3VRL,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:10,0.995890909090909,0.9604,0.9942028985507246,0.9770091556459817
3VRL,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:15,0.996875,0.9604,0.9892871858261227,0.97462959204384
3VRL,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:1,0.9534,0.9604,0.9471400394477317,0.9537239324726912
3VRL,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:2,0.9494666666666667,0.9604,0.8955613577023499,0.9268480988226211
3VRL,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:5,0.9466,0.9604,0.7737673219465034,0.8570408709619847
3VRL,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:10,0.9434545454545454,0.9604,0.6225045372050817,0.7553877615227308
3VRL,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:15,0.9429,0.9604,0.5235499345835151,0.677674287327124
1NSN,ONE_VS_NINE,ONE_VS_NINE,1:1,0.9599799899949975,0.9576,0.9622186495176849,0.9599037690457097
1NSN,ONE_VS_NINE,ONE_VS_NINE,1:2,0.9567189063021007,0.9576,0.9163636363636364,0.9365281173594132
1NSN,ONE_VS_NINE,ONE_VS_NINE,1:5,0.955692615435906,0.9576,0.8108382726502964,0.8781292984869327
1NSN,ONE_VS_NINE,ONE_VS_NINE,1:10,0.9548686244204019,0.9576,0.6783791442334939,0.7941615524962681
1NSN,ONE_VS_NINE,HIGH_VS_95LOW,1:1,0.6368,0.9576,0.5833333333333334,0.725015142337977
1NSN,ONE_VS_NINE,HIGH_VS_95LOW,1:2,0.5263333333333333,0.9576,0.4098964129783409,0.5740663029794377
1NSN,ONE_VS_NINE,HIGH_VS_95LOW,1:5,0.4172,0.9576,0.2170444242973708,0.35388026607538803
1NSN,ONE_VS_NINE,HIGH_VS_95LOW,1:10,0.3678,0.9576,0.12168653264543676,0.21593343405416374
1NSN,ONE_VS_NINE,HIGH_VS_95LOW,1:15,0.3497375,0.9576,0.08459812357545453,0.15546211666152573
1NSN,ONE_VS_NINE,HIGH_VS_LOOSER,1:1,0.6802,0.9576,0.6158991510162078,0.7496477219351808
1NSN,ONE_VS_NINE,HIGH_VS_LOOSER,1:2,0.5875333333333334,0.9576,0.44485738177088174,0.6074985726067373
1NSN,ONE_VS_NINE,HIGH_VS_LOOSER,1:5,0.49156666666666665,0.9576,0.24146452166019466,0.38567803777840426
1NSN,ONE_VS_NINE,HIGH_VS_LOOSER,1:10,0.44630909090909093,0.9576,0.13668674526820634,0.239226560743461
1NSN,ONE_VS_NINE,HIGH_VS_LOOSER,1:15,0.427625,0.9576,0.09506413056426954,0.17295813315030883
1NSN,HIGH_VS_95LOW,ONE_VS_NINE,1:1,0.8287143571785893,0.9792,0.7527675276752768,0.8511821974965228
1NSN,HIGH_VS_95LOW,ONE_VS_NINE,1:2,0.782594198066022,0.9792,0.6080476900149031,0.7502298498314435
1NSN,HIGH_VS_95LOW,ONE_VS_NINE,1:5,0.74055675945991,0.9792,0.389374900588516,0.5571867531580744
1NSN,HIGH_VS_95LOW,ONE_VS_NINE,1:10,0.718356214201291,0.9792,0.24140821458507963,0.3873264506941972
1NSN,HIGH_VS_95LOW,HIGH_VS_95LOW,1:1,0.9771,0.9792,0.9751045608444533,0.9771479892226325
1NSN,HIGH_VS_95LOW,HIGH_VS_95LOW,1:2,0.9768666666666667,0.9792,0.9527145359019265,0.9657757175263832
1NSN,HIGH_VS_95LOW,HIGH_VS_95LOW,1:5,0.9761333333333333,0.9792,0.8888888888888888,0.9318614389036923
1NSN,HIGH_VS_95LOW,HIGH_VS_95LOW,1:10,0.9758909090909091,0.9792,0.8002615233736515,0.8807339449541285
1NSN,HIGH_VS_95LOW,HIGH_VS_95LOW,1:15,0.975025,0.9792,0.721060382916053,0.830534351145038
1NSN,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:1,0.719,0.9792,0.6440410418310971,0.7770195207109982
1NSN,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:2,0.6320666666666667,0.9792,0.47483270293860924,0.6395401998563124
1NSN,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:5,0.5498333333333333,0.9792,0.2675848499754058,0.4203116281066232
1NSN,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:10,0.5100545454545454,0.9792,0.1542581681842528,0.26652875690682926
1NSN,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:15,0.49565,0.9792,0.10846256092157731,0.19529317909852412
1NSN,HIGH_VS_LOOSER,ONE_VS_NINE,1:1,0.9029514757378689,0.9122,0.8957187745483111,0.9038842647641695
1NSN,HIGH_VS_LOOSER,ONE_VS_NINE,1:2,0.8936978992997666,0.9122,0.7979356193142058,0.851250466592012
1NSN,HIGH_VS_LOOSER,ONE_VS_NINE,1:5,0.8867477912985497,0.9122,0.6065966218912089,0.7286524482786165
1NSN,HIGH_VS_LOOSER,ONE_VS_NINE,1:10,0.8831711973815801,0.9122,0.4324452450933915,0.5867369910593684
1NSN,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:1,0.9452,0.9122,0.976659528907923,0.9433298862461221
1NSN,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:2,0.9576,0.9122,0.9585960487599832,0.9348227095716336
1NSN,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:5,0.9691666666666666,0.9122,0.9037051713889439,0.9079327162337016
1NSN,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:10,0.9750909090909091,0.9122,0.8304806991988347,0.8694243232939382
1NSN,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:15,0.9769875,0.9122,0.7648834479288948,0.8320715132719145
1NSN,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:1,0.9072,0.9122,0.9031683168316832,0.9076616915422885
1NSN,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:2,0.9062666666666667,0.9122,0.8250723589001447,0.8664513677811551
1NSN,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:5,0.9086666666666666,0.9122,0.6646750218595162,0.7690102849435172
1NSN,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:10,0.9069818181818182,0.9122,0.4937215847586058,0.6406798707683664
1NSN,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:15,0.9069125,0.9122,0.3942432362347653,0.5505462007363148
3RAJ,ONE_VS_NINE,ONE_VS_NINE,1:1,0.9050525262631316,0.9028,0.9069720715290336,0.9048812268216899
3RAJ,ONE_VS_NINE,ONE_VS_NINE,1:2,0.9137712570856952,0.9028,0.8483367788009772,0.8747214417207635
3RAJ,ONE_VS_NINE,ONE_VS_NINE,1:5,0.9200866811135189,0.9028,0.702568093385214,0.7901969365426695
3RAJ,ONE_VS_NINE,ONE_VS_NINE,1:10,0.9232475679607237,0.9028,0.5472178445872227,0.68140991772964
3RAJ,ONE_VS_NINE,HIGH_VS_95LOW,1:1,0.9495,0.9028,0.9958085153320098,0.9470261197943984
3RAJ,ONE_VS_NINE,HIGH_VS_95LOW,1:2,0.9649333333333333,0.9028,0.9912165129556434,0.9449445258530459
3RAJ,ONE_VS_NINE,HIGH_VS_95LOW,1:5,0.9802,0.9028,0.9766334919948074,0.9382664726668052
3RAJ,ONE_VS_NINE,HIGH_VS_95LOW,1:10,0.9875272727272727,0.9028,0.9575731862537123,0.9293802758904673
3RAJ,ONE_VS_NINE,HIGH_VS_95LOW,1:15,0.9903375,0.9028,0.9402207873359717,0.9211304968880728
3RAJ,ONE_VS_NINE,HIGH_VS_LOOSER,1:1,0.8004,0.9028,0.74933598937583,0.8189404934687954
