iter	Passed	Remaining
0	52	26261
1	75	18894
2	101	16767
3	118	14701
4	137	13623
5	153	12676
6	170	12028
7	187	11525
8	202	11058
9	221	10871
10	242	10770
11	261	10627
12	278	10446
13	297	10315
14	315	10216
15	334	10121
16	353	10032
17	377	10106
18	395	10016
19	413	9915
20	431	9842
21	447	9729
22	467	9688
23	484	9613
24	499	9492
25	515	9394
26	530	9302
27	547	9224
28	561	9125
29	576	9034
30	591	8941
31	606	8872
32	620	8786
33	636	8728
34	652	8674
35	668	8610
36	682	8543
37	697	8485
38	712	8422
39	726	8358
40	743	8325
41	758	8268
42	773	8223
43	789	8177
44	804	8131
45	820	8102
46	836	8059
47	852	8027
48	867	7983
49	882	7938
50	897	7901
51	912	7863
52	928	7827
53	945	7808
54	960	7774
55	976	7739
56	992	7713
57	1008	7681
58	1022	7645
59	1038	7615
60	1054	7590
61	1102	7790
62	1192	8272
63	1258	8575
64	1288	8624
65	1305	8583
66	1320	8532
67	1335	8485
68	1353	8454
69	1368	8406
70	1383	8360
71	1398	8315
72	1414	8271
73	1430	8235
74	1446	8196
75	1461	8152
76	1476	8113
77	1492	8075
78	1507	8035
79	1524	8001
80	1540	7968
81	1555	7930
82	1570	7889
83	1592	7886
84	1608	7853
85	1623	7816
86	1640	7788
87	1655	7752
88	1670	7715
89	1692	7708
90	1707	7675
91	1723	7643
92	1739	7611
93	1754	7578
94	1769	7544
95	1784	7508
96	1799	7478
97	1814	7442
98	1831	7417
99	1847	7390
100	1862	7357
101	1878	7328
102	1894	7301
103	1909	7270
104	1924	7240
105	1941	7215
106	1957	7191
107	1972	7159
108	1988	7131
109	2002	7100
110	2017	7069
111	2033	7043
112	2049	7018
113	2064	6990
114	2080	6965
115	2099	6951
116	2115	6926
117	2132	6902
118	2148	6878
119	2162	6849
120	2179	6827
121	2195	6802
122	2210	6776
123	2225	6749
124	2241	6724
125	2256	6698
126	2272	6673
127	2286	6645
128	2302	6623
129	2318	6598
130	2334	6575
131	2351	6556
132	2366	6529
133	2381	6504
134	2396	6480
135	2413	6458
136	2428	6434
137	2444	6411
138	2460	6389
139	2476	6366
140	2490	6342
141	2510	6330
142	2527	6310
143	2543	6287
144	2558	6263
145	2573	6240
146	2588	6216
147	2603	6191
148	2620	6172
149	2635	6148
150	2650	6127
151	2666	6104
152	2681	6082
153	2697	6060
154	2712	6036
155	2728	6017
156	2745	5997
157	2761	5976
158	2776	5954
159	2792	5933
160	2807	5911
161	2823	5891
162	2839	5870
163	2855	5851
164	2871	5830
165	2887	5808
166	2903	5789
167	2919	5768
168	2933	5745
169	2949	5726
170	2964	5704
171	2980	5683
172	2994	5660
173	3010	5639
174	3025	5619
175	3040	5597
176	3056	5578
177	3072	5558
178	3087	5537
179	3104	5518
180	3119	5498
181	3135	5478
182	3150	5456
183	3166	5438
184	3182	5419
185	3198	5400
186	3214	5379
187	3229	5359
188	3244	5338
189	3259	5318
190	3274	5297
191	3289	5276
192	3303	5255
193	3320	5236
194	3335	5217
195	3351	5197
196	3366	5178
197	3383	5161
198	3399	5142
199	3414	5122
200	3431	5104
201	3445	5082
202	3461	5064
203	3477	5045
204	3491	5024
205	3506	5004
206	3521	4985
207	3537	4965
208	3554	4948
209	3571	4932
210	3586	4912
211	3601	4893
212	3616	4873
213	3632	4854
214	3648	4836
215	3664	4818
216	3681	4800
217	3697	4782
218	3712	4763
219	3727	4743
220	3742	4724
221	3756	4704
222	3772	4686
223	3788	4667
224	3802	4647
225	3818	4630
226	3834	4611
227	3850	4594
228	3865	4574
229	3880	4555
230	3896	4537
231	3912	4519
232	3928	4501
233	3944	4484
234	3963	4469
235	3990	4463
236	4009	4448
237	4025	4431
238	4040	4412
239	4055	4393
240	4072	4376
241	4091	4362
242	4108	4345
243	4123	4326
244	4138	4307
245	4153	4288
246	4170	4272
247	4188	4255
248	4203	4237
249	4219	4219
250	4234	4200
251	4250	4183
252	4267	4165
253	4283	4148
254	4299	4130
255	4314	4112
256	4330	4094
257	4345	4076
258	4360	4057
259	4376	4040
260	4392	4021
261	4406	4003
262	4422	3985
263	4438	3967
264	4453	3949
265	4468	3931
266	4486	3914
267	4500	3896
268	4515	3877
269	4531	3860
270	4547	3842
271	4563	3824
272	4578	3807
273	4594	3789
274	4610	3772
275	4625	3754
276	4640	3736
277	4656	3718
278	4672	3701
279	4687	3683
280	4703	3665
281	4718	3647
282	4734	3630
283	4749	3612
284	4764	3594
285	4780	3576
286	4795	3559
287	4811	3542
288	4826	3524
289	4841	3506
290	4856	3487
291	4871	3470
292	4888	3453
293	4908	3439
294	4925	3423
295	4944	3407
296	4962	3391
297	4981	3376
298	4999	3360
299	5016	3344
300	5035	3329
301	5054	3313
302	5071	3297
303	5090	3282
304	5108	3265
305	5125	3249
306	5146	3235
307	5163	3218
308	5181	3202
309	5201	3187
310	5225	3175
311	5243	3159
312	5261	3143
313	5283	3129
314	5304	3115
315	5323	3099
316	5341	3083
317	5360	3067
318	5377	3051
319	5396	3035
320	5417	3020
321	5433	3003
322	5449	2986
323	5467	2970
324	5483	2952
325	5499	2935
326	5516	2918
327	5538	2904
328	5558	2888
329	5576	2872
330	5597	2858
331	5613	2840
332	5634	2825
333	5653	2809
334	5669	2792
335	5687	2776
336	5704	2759
337	5719	2741
338	5737	2724
339	5753	2707
340	5773	2692
341	5794	2676
342	5812	2660
343	5831	2644
344	5857	2631
345	5875	2615
346	5896	2599
347	5918	2585
348	5939	2569
349	5961	2554
350	5978	2537
351	5998	2522
352	6019	2506
353	6038	2490
354	6059	2474
355	6079	2459
356	6098	2442
357	6117	2426
358	6133	2408
359	6152	2392
360	6170	2375
361	6189	2359
362	6207	2342
363	6225	2325
364	6241	2308
365	6263	2293
366	6280	2276
367	6300	2259
368	6325	2245
369	6343	2228
370	6363	2212
371	6385	2197
372	6406	2181
373	6431	2166
374	6451	2150
375	6471	2134
376	6502	2121
377	6520	2104
378	6546	2090
379	6565	2073
380	6602	2062
381	6624	2046
382	6645	2030
383	6683	2018
384	6703	2002
385	6724	1985
386	6740	1968
387	6775	1955
388	6796	1939
389	6818	1923
390	6837	1906
391	6854	1888
392	6872	1871
393	6893	1854
394	6910	1837
395	6927	1819
396	6943	1801
397	6960	1783
398	6977	1766
399	6994	1748
400	7013	1731
401	7029	1713
402	7047	1696
403	7064	1678
404	7081	1661
405	7098	1643
406	7123	1627
407	7145	1611
408	7165	1594
409	7183	1576
410	7201	1559
411	7219	1542
412	7237	1524
413	7252	1506
414	7271	1489
415	7288	1471
416	7307	1454
417	7324	1436
418	7344	1419
419	7361	1402
420	7382	1385
421	7398	1367
422	7421	1350
423	7439	1333
424	7457	1316
425	7479	1299
426	7498	1281
427	7519	1265
428	7536	1247
429	7550	1229
430	7566	1211
431	7585	1194
432	7604	1176
433	7620	1158
434	7639	1141
435	7659	1124
436	7678	1106
437	7697	1089
438	7714	1071
439	7734	1054
440	7751	1037
441	7767	1019
442	7783	1001
443	7799	983
444	7816	966
445	7834	948
446	7852	931
447	7869	913
448	7885	895
449	7902	878
450	7919	860
451	7938	842
452	7960	825
453	7979	808
454	7998	791
455	8016	773
456	8032	755
457	8049	738
458	8066	720
459	8086	703
460	8104	685
461	8123	668
462	8141	650
463	8159	633
464	8177	615
465	8204	598
466	8222	581
467	8242	563
468	8263	546
469	8279	528
470	8299	511
471	8317	493
472	8336	475
473	8353	458
474	8370	440
475	8390	423
476	8409	405
477	8431	388
478	8451	370
479	8473	353
480	8490	335
481	8506	317
482	8524	300
483	8552	282
484	8568	265
485	8585	247
486	8601	229
487	8620	211
488	8637	194
489	8653	176
490	8669	158
491	8688	141
492	8707	123
493	8725	105
494	8742	88
495	8759	70
496	8776	52
497	8797	35
498	8817	17
499	8835	0
