task,neurons,activation,learning_rate,accuracy
vs_Non-binder,20,relu,0.001,0.8276087492206061
vs_Non-binder,20,tanh,0.001,0.8235034460503167
vs_Non-binder,20,relu,0.0005,0.820829286286641
vs_Non-binder,10,relu,0.001,0.8207877538192333
vs_Non-binder,10,tanh,0.001,0.8181249798436078
vs_Non-binder,20,tanh,0.0005,0.8172560610561036
vs_Non-binder,20,relu,0.0001,0.8168377685971576
vs_Non-binder,20,tanh,0.0001,0.814151520941559
vs_Non-binder,10,relu,0.0005,0.8133616258305981
vs_Non-binder,10,tanh,0.0005,0.8083110024268433
vs_Non-binder,10,relu,0.0001,0.8072676090407166
vs_Non-binder,5,tanh,0.001,0.8065570951575157
vs_Non-binder,10,tanh,0.0001,0.800749242260757
vs_Non-binder,5,relu,0.0001,0.8004330897990837
vs_Non-binder,5,relu,0.0005,0.8000657408350179
vs_Non-binder,5,tanh,0.0005,0.7988290134091289
vs_Non-binder,20,sigmoid,0.001,0.7939300429167453
vs_Non-binder,5,tanh,0.0001,0.7899520820408384
vs_Weak,20,relu,0.001,0.782632573342759
vs_Weak,20,relu,0.0005,0.7781420675240219
vs_Non-binder,20,sigmoid,0.0005,0.7728535576488106
vs_Weak,20,tanh,0.001,0.7713475371743729
vs_Weak,10,relu,0.001,0.7688926380171871
vs_Weak,20,relu,0.0001,0.7678572084295422
vs_Non-binder,5,relu,0.001,0.7657941083440002
vs_Weak,20,tanh,0.0005,0.764419830335445
vs_Non-binder,10,sigmoid,0.001,0.7642822198126634
vs_Weak,10,tanh,0.001,0.7628070194924416
vs_Non-binder,10,sigmoid,0.0005,0.7622122628305231
vs_Non-binder,20,sigmoid,0.0001,0.7599582533098657
vs_Non-binder,5,sigmoid,0.001,0.7593219276164153
vs_Weak,10,tanh,0.0005,0.7593105883562726
vs_Weak,10,relu,0.0001,0.7588190687378195
vs_Weak,20,tanh,0.0001,0.7586484774465837
vs_Weak,10,relu,0.0005,0.7581582676355612
vs_Weak,10,tanh,0.0001,0.75693470966484
vs_Weak,5,relu,0.001,0.7546150234236496
vs_Weak,5,tanh,0.001,0.7527765146726796
vs_Weak,5,relu,0.0001,0.752522677057466
vs_Weak,5,tanh,0.0005,0.750063757657576
vs_Weak,5,tanh,0.0001,0.7473049055306022
vs_Non-binder,10,sigmoid,0.0001,0.7460835248049308
vs_Weak,20,sigmoid,0.001,0.7432919879595247
vs_Weak,5,relu,0.0005,0.7425531440267896
vs_Non-binder,5,sigmoid,0.0005,0.7385326234949688
vs_Non-binder,5,sigmoid,0.0001,0.7344097601212477
vs_Weak,10,sigmoid,0.001,0.7315339197191605
vs_Weak,20,sigmoid,0.0005,0.7283241434665128
vs_Weak,20,sigmoid,0.0001,0.7135883030764116
vs_Weak,5,sigmoid,0.0005,0.7060249174539838
vs_Weak,10,sigmoid,0.0005,0.7054115477321679
vs_Weak,5,sigmoid,0.001,0.7016229816250038
vs_Weak,10,sigmoid,0.0001,0.6885333997602192
vs_all,20,relu,0.0005,0.6760513558890996
vs_all,20,relu,0.001,0.672670004111149
vs_all,5,relu,0.001,0.6717449174227504
vs_all,20,relu,0.0001,0.6717096578932193
vs_all,5,relu,0.0001,0.6699893204269435
vs_all,20,tanh,0.0001,0.6691334945589685
vs_all,10,relu,0.0001,0.6676412623640505
vs_all,5,relu,0.0005,0.666044946012082
vs_all,10,tanh,0.0001,0.6659027549661193
vs_all,5,tanh,0.0005,0.6656381036548928
vs_all,10,tanh,0.0005,0.6653754430036652
vs_all,10,relu,0.001,0.6649230634959925
vs_all,20,sigmoid,0.001,0.6641379455659066
vs_all,5,tanh,0.001,0.6634653322848193
vs_all,20,sigmoid,0.0005,0.661621506880377
vs_all,20,tanh,0.0005,0.6615114972094314
vs_all,10,relu,0.0005,0.6596229747913197
vs_all,20,tanh,0.001,0.6567617162143305
vs_Weak,5,sigmoid,0.0001,0.6566503653981449
vs_all,5,sigmoid,0.001,0.6564215137462407
vs_all,10,tanh,0.001,0.6550357568859869
vs_all,10,sigmoid,0.001,0.6548827163953641
vs_all,5,tanh,0.0001,0.6542184476023373
vs_all,10,sigmoid,0.0005,0.648313707753987
vs_all,5,sigmoid,0.0005,0.6481139315381755
vs_all,20,sigmoid,0.0001,0.6467509607859979
vs_all,10,sigmoid,0.0001,0.6413823448128543
vs_all,5,sigmoid,0.0001,0.6307720123070505
