,neurons,activation,learning_rate,accuracy,task,target
0,5,relu,0.001,0.7383579638752052,vs_Weak,Q96GD4
1,5,relu,0.0005,0.7345922276956759,vs_Weak,Q96GD4
2,5,relu,0.0001,0.7364641488779421,vs_Weak,Q96GD4
3,10,relu,0.001,0.7480021893814998,vs_Weak,Q96GD4
4,10,relu,0.0005,0.7441707717569787,vs_Weak,Q96GD4
5,10,relu,0.0001,0.7459551176792556,vs_Weak,Q96GD4
6,20,relu,0.001,0.7613793103448275,vs_Weak,Q96GD4
7,20,relu,0.0005,0.7537383689107827,vs_Weak,Q96GD4
8,20,relu,0.0001,0.7460864805692391,vs_Weak,Q96GD4
9,30,relu,0.001,0.7728845101258894,vs_Weak,Q96GD4
10,30,relu,0.0005,0.7556759715380407,vs_Weak,Q96GD4
11,30,relu,0.0001,0.757536945812808,vs_Weak,Q96GD4
0,5,relu,0.001,0.7900821018062398,vs_all,Q96GD4
1,5,relu,0.0005,0.774767378215654,vs_all,Q96GD4
2,5,relu,0.0001,0.6752818828680898,vs_all,Q96GD4
3,10,relu,0.001,0.7805473453749315,vs_all,Q96GD4
4,10,relu,0.0005,0.7881554460864805,vs_all,Q96GD4
5,10,relu,0.0001,0.7862944718117131,vs_all,Q96GD4
6,20,relu,0.001,0.7920306513409962,vs_all,Q96GD4
7,20,relu,0.0005,0.7805801860974274,vs_all,Q96GD4
8,20,relu,0.0001,0.7805692391899287,vs_all,Q96GD4
9,30,relu,0.001,0.7920197044334976,vs_all,Q96GD4
10,30,relu,0.0005,0.7843787629994526,vs_all,Q96GD4
11,30,relu,0.0001,0.7996715927750411,vs_all,Q96GD4
0,5,relu,0.001,0.8244006568144499,vs_Non-binder,Q96GD4
1,5,relu,0.0005,0.8205801860974274,vs_Non-binder,Q96GD4
2,5,relu,0.0001,0.7956759715380405,vs_Non-binder,Q96GD4
3,10,relu,0.001,0.8206130268199233,vs_Non-binder,Q96GD4
4,10,relu,0.0005,0.8263382594417076,vs_Non-binder,Q96GD4
5,10,relu,0.0001,0.8206020799124247,vs_Non-binder,Q96GD4
6,20,relu,0.001,0.8397044334975369,vs_Non-binder,Q96GD4
7,20,relu,0.0005,0.8378106185002737,vs_Non-binder,Q96GD4
8,20,relu,0.0001,0.833968253968254,vs_Non-binder,Q96GD4
9,30,relu,0.001,0.8397153804050356,vs_Non-binder,Q96GD4
10,30,relu,0.0005,0.826360153256705,vs_Non-binder,Q96GD4
11,30,relu,0.0001,0.828232074438971,vs_Non-binder,Q96GD4
0,5,relu,0.001,0.7230432402846195,shuffled_weak,Q96GD4
1,5,relu,0.0005,0.7249370552818828,shuffled_weak,Q96GD4
2,5,relu,0.0001,0.7211275314723591,shuffled_weak,Q96GD4
3,10,relu,0.001,0.7288013136288999,shuffled_weak,Q96GD4
4,10,relu,0.0005,0.7383908045977011,shuffled_weak,Q96GD4
5,10,relu,0.0001,0.7249808429118773,shuffled_weak,Q96GD4
6,20,relu,0.001,0.746031746031746,shuffled_weak,Q96GD4
7,20,relu,0.0005,0.740295566502463,shuffled_weak,Q96GD4
8,20,relu,0.0001,0.7422112753147235,shuffled_weak,Q96GD4
9,30,relu,0.001,0.7480021893814998,shuffled_weak,Q96GD4
10,30,relu,0.0005,0.740295566502463,shuffled_weak,Q96GD4
11,30,relu,0.0001,0.738423645320197,shuffled_weak,Q96GD4
0,5,relu,0.001,0.766999983080385,vs_Weak,P49841
1,5,relu,0.0005,0.7619410182224252,vs_Weak,P49841
2,5,relu,0.0001,0.765291101974519,vs_Weak,P49841
3,10,relu,0.001,0.7854677427541749,vs_Weak,P49841
4,10,relu,0.0005,0.7669576840431112,vs_Weak,P49841
5,10,relu,0.0001,0.7787252762127134,vs_Weak,P49841
6,20,relu,0.001,0.8089521682486506,vs_Weak,P49841
7,20,relu,0.0005,0.782083819772262,vs_Weak,P49841
8,20,relu,0.0001,0.7820669001573525,vs_Weak,P49841
9,30,relu,0.001,0.7955349136253659,vs_Weak,P49841
10,30,relu,0.0005,0.8022350811295534,vs_Weak,P49841
11,30,relu,0.0001,0.7988426983401857,vs_Weak,P49841
0,5,relu,0.001,0.7585824746628766,vs_all,P49841
1,5,relu,0.0005,0.7669830634654756,vs_all,P49841
2,5,relu,0.0001,0.7585570952405124,vs_all,P49841
3,10,relu,0.001,0.7737170701994822,vs_all,P49841
4,10,relu,0.0005,0.7569158925942845,vs_all,P49841
5,10,relu,0.0001,0.7753244336158908,vs_all,P49841
6,20,relu,0.001,0.805559785459283,vs_all,P49841
7,20,relu,0.0005,0.7887839872764496,vs_all,P49841
8,20,relu,0.0001,0.7904590291524966,vs_all,P49841
9,30,relu,0.001,0.810610290509788,vs_all,P49841
10,30,relu,0.0005,0.7888009068913592,vs_all,P49841
11,30,relu,0.0001,0.7954672351657276,vs_all,P49841
0,5,relu,0.001,0.7988173189178215,vs_Non-binder,P49841
1,5,relu,0.0005,0.7988088591103666,vs_Non-binder,P49841
2,5,relu,0.0001,0.7819992216977142,vs_Non-binder,P49841
3,10,relu,0.001,0.8139011556096983,vs_Non-binder,P49841
4,10,relu,0.0005,0.807192528298056,vs_Non-binder,P49841
5,10,relu,0.0001,0.8038509043534169,vs_Non-binder,P49841
6,20,relu,0.001,0.8189516606602035,vs_Non-binder,P49841
7,20,relu,0.0005,0.8206182427287955,vs_Non-binder,P49841
