,neurons,activation,learning_rate,accuracy,task,target,epochs,batch_size
0,10,relu,0.001,0.790191570881226,vs_Weak,Q96GD4,10,8
0,10,relu,0.001,0.7710673234811166,vs_Weak,Q96GD4,20,8
0,10,relu,0.001,0.7863711001642035,vs_Weak,Q96GD4,30,8
0,10,relu,0.001,0.795927750410509,vs_Weak,Q96GD4,40,8
0,10,relu,0.001,0.7768253968253968,vs_Weak,Q96GD4,100,8
0,10,relu,0.001,0.7728845101258894,vs_Weak,Q96GD4,10,16
0,10,relu,0.001,0.79400109469075,vs_Weak,Q96GD4,20,16
0,10,relu,0.001,0.784488232074439,vs_Weak,Q96GD4,30,16
0,10,relu,0.001,0.7825615763546798,vs_Weak,Q96GD4,40,16
0,10,relu,0.001,0.7844225506294471,vs_Weak,Q96GD4,100,16
0,10,relu,0.001,0.755632183908046,vs_Weak,Q96GD4,10,32
0,10,relu,0.001,0.7863492063492062,vs_Weak,Q96GD4,20,32
0,10,relu,0.001,0.7940229885057472,vs_Weak,Q96GD4,30,32
0,10,relu,0.001,0.7959605911330049,vs_Weak,Q96GD4,40,32
0,10,relu,0.001,0.77871921182266,vs_Weak,Q96GD4,100,32
0,10,relu,0.001,0.7288341543513956,vs_Weak,Q96GD4,10,64
0,10,relu,0.001,0.7729392446633826,vs_Weak,Q96GD4,20,64
0,10,relu,0.001,0.7901477832512316,vs_Weak,Q96GD4,30,64
0,10,relu,0.001,0.7997372742200328,vs_Weak,Q96GD4,40,64
0,10,relu,0.001,0.7863601532567049,vs_Weak,Q96GD4,100,64
0,10,relu,0.001,0.8054515599343186,vs_all,Q96GD4,10,8
0,10,relu,0.001,0.8073015873015873,vs_all,Q96GD4,20,8
0,10,relu,0.001,0.7977558839627804,vs_all,Q96GD4,30,8
0,10,relu,0.001,0.8092501368363437,vs_all,Q96GD4,40,8
0,10,relu,0.001,0.807312534209086,vs_all,Q96GD4,100,8
0,10,relu,0.001,0.7997153804050355,vs_all,Q96GD4,10,16
0,10,relu,0.001,0.8054187192118226,vs_all,Q96GD4,20,16
0,10,relu,0.001,0.8130706075533661,vs_all,Q96GD4,30,16
0,10,relu,0.001,0.8207115489874112,vs_all,Q96GD4,40,16
0,10,relu,0.001,0.7996387520525451,vs_all,Q96GD4,100,16
0,10,relu,0.001,0.7767049808429118,vs_all,Q96GD4,10,32
0,10,relu,0.001,0.8073344280240832,vs_all,Q96GD4,20,32
0,10,relu,0.001,0.8149863163656268,vs_all,Q96GD4,30,32
0,10,relu,0.001,0.8054296661193213,vs_all,Q96GD4,40,32
0,10,relu,0.001,0.8054296661193212,vs_all,Q96GD4,100,32
0,10,relu,0.001,0.7709140667761357,vs_all,Q96GD4,10,64
0,10,relu,0.001,0.7978106185002737,vs_all,Q96GD4,20,64
0,10,relu,0.001,0.8111877394636015,vs_all,Q96GD4,30,64
0,10,relu,0.001,0.8111658456486043,vs_all,Q96GD4,40,64
0,10,relu,0.001,0.8054187192118226,vs_all,Q96GD4,100,64
0,10,relu,0.001,0.8378325123152709,vs_Non-binder,Q96GD4,10,8
0,10,relu,0.001,0.8493267651888342,vs_Non-binder,Q96GD4,20,8
0,10,relu,0.001,0.8435905856595513,vs_Non-binder,Q96GD4,30,8
0,10,relu,0.001,0.845528188286809,vs_Non-binder,Q96GD4,40,8
0,10,relu,0.001,0.8378325123152709,vs_Non-binder,Q96GD4,100,8
